#    Timestamp     Score     Threshold     Status   Raw Score   Component   Count
             0     0.235      0.171         0     0.00000           1       0
           518     0.230      0.172         0     0.00000           1      14
          1039     0.240      0.172         0     0.00000           1      34
          1510     0.277      0.191         0     0.24191           4      51
          2033     0.266      0.189         0     0.28354           3      72
          2570     0.248      0.186         0     0.22299           4      92
          3000     0.251      0.183         0     0.42868           2     109
          3503     0.265      0.183         0     0.15714           2     129
          4025     0.270      0.183         0     0.00000           1     150
          4516     0.257      0.182         0     0.28548           4     169
          5002     0.255      0.181         0     0.35534           4     189
          5517     0.243      0.180         0     0.00000           1     210
          6032     0.241      0.180         0     0.00000           1     230
          6511     0.254      0.179         0     0.27700           2     248
          7015     0.267      0.179         0     0.00000           1     268
          7509     0.279      0.180         0     0.48742           3     287
          8016     0.280      0.181         0     0.37883           3     307
          8503     0.252      0.181         0     0.00000           1     326
          9039     0.243      0.181         0     0.22662           2     346
          9541     0.263      0.180         0     0.38240           4     365
         10028     0.275      0.181         0     0.17097           3     383
         10537     0.272      0.181         0     0.43092           3     402
         11038     0.264      0.180         0     0.00000           1     422
         11509     0.267      0.180         0     0.33428           2     441
         12003     0.264      0.180         0     0.41375           2     461
         12504     0.269      0.180         0     0.41569           4     480
         13005     0.274      0.180         0     0.42051           4     500
         13507     0.265      0.179         0     0.43174           3     518
         14041     0.267      0.179         0     0.00000           1     539
         14528     0.283      0.180         0     0.46657           3     558
         15022     0.270      0.180         0     0.27322           4     578
         15520     0.260      0.179         0     0.24954           4     598
         16019     0.282      0.180         0     0.00000           1     618
         16502     0.301      0.181         0     0.42380           2     637
         17017     0.297      0.182         0     0.32333           4     657
         17520     0.278      0.182         0     0.42008           4     677
         18005     0.270      0.182         0     0.33254           2     694
         18505     0.274      0.182         0     0.17943           4     713
         19016     0.281      0.182         0     0.40309           3     734
         19519     0.251      0.182         0     0.00000           1     755
         20017     0.242      0.182         0     0.35810           4     774
         20512     0.262      0.182         0     0.30727           4     792
         21010     0.259      0.182         0     0.18527           2     812
         21513     0.270      0.181         0     0.17341           2     832
         22003     0.285      0.182         0     0.33158           2     853
         22520     0.267      0.181         0     0.00000           1     873
         23042     0.257      0.181         0     0.00000           1     893
         23505     0.274      0.181         0     0.36652           2     911
         24019     0.285      0.181         0     0.32937           3     931
         24510     0.292      0.182         0     0.00000           1     950
         25038     0.269      0.181         0     0.00000           1     970
         25511     0.271      0.180         0     0.35003           4     989
         26015     0.269      0.179         0     0.00000           1    1009
         26516     0.265      0.179         0     0.00000           1    1028
         27002     0.285      0.179         0     0.00000           1    1050
         27509     0.282      0.179         0     0.42872           3    1069
         28000     0.265      0.179         0     0.33308           3    1089
         28506     0.267      0.179         0     0.41593           4    1109
         29000     0.277      0.179         0     0.18776           2    1127
         29506     0.269      0.179         0     0.00000           1    1147
         30025     0.280      0.179         0     0.17263           4    1167
         30538     0.280      0.178         0     0.38528           4    1187
         31003     0.253      0.178         0     0.00000           1    1205
         31504     0.257      0.178         0     0.00000           1    1225
         32019     0.260      0.178         0     0.32089           2    1244
         32517     0.251      0.178         0     0.30796           2    1264
         33020     0.266      0.178         0     0.15601           4    1283
         33533     0.286      0.178         0     0.28487           3    1303
         34003     0.280      0.177         0     0.40391           2    1322
         34524     0.255      0.177         0     0.16193           3    1342
         35006     0.243      0.178         0     0.30528           2    1362
         35506     0.240      0.179         0     0.29434           2    1381
         36000     0.264      0.179         0     0.40699           2    1401
         36511     0.274      0.179         0     0.37875           4    1419
         37002     0.261      0.179         0     0.00000           1    1439
         37513     0.277      0.179         0     0.00000           1    1459
         38014     0.285      0.179         0     0.41050           4    1478
         38526     0.280      0.179         0     0.00000           1    1499
         39016     0.282      0.179         0     0.00000           1    1519
         39529     0.276      0.179         0     0.37951           2    1539
         40027     0.280      0.179         0     0.41542           2    1559
         40505     0.280      0.179         0     0.39486           3    1577
         41010     0.259      0.179         0     0.39118           4    1598
         41548     0.275      0.178         0     0.42979           3    1618
         42046     0.285      0.178         0     0.41026           4    1638
         42513     0.288      0.178         0     0.00000           1    1657
         43001     0.278      0.178         0     0.44366           3    1676
         43515     0.256      0.178         0     0.27852           3    1696
         44021     0.257      0.178         0     0.22820           4    1715
         44506     0.251      0.178         0     0.24530           4    1734
         45025     0.260      0.178         0     0.39818           3    1755
         45507     0.272      0.178         0     0.00000           1    1773
         46013     0.285      0.178         0     0.00000           1    1793
         46537     0.286      0.178         0     0.43104           3    1813
         47014     0.274      0.178         0     0.00000           1    1833
         47501     0.268      0.178         0     0.33077           4    1852
         48015     0.278      0.178         0     0.00000           1    1873
         48517     0.283      0.178         0     0.00000           1    1893
         49026     0.271      0.178         0     0.00000           1    1913
         49518     0.248      0.178         0     0.39621           2    1933
         50007     0.245      0.178         0     0.00000           1    1954
         50513     0.269      0.178         0     0.38987           2    1973
         51014     0.281      0.178         0     0.36705           2    1993
         51510     0.279      0.178         0     0.00000           1    2012
         52007     0.275      0.178         0     0.32884           3    2031
         52520     0.274      0.178         0     0.35409           3    2051
         53005     0.265      0.178         0     0.43243           2    2071
         53500     0.256      0.178         0     0.26095           2    2091
         54034     0.259      0.178         0     0.38061           3    2111
         54527     0.271      0.178         0     0.00000           1    2131
         55012     0.287      0.179         0     0.47516           3    2150
         55516     0.287      0.179         0     0.22424           3    2170
         56003     0.258      0.179         0     0.00000           1    2189
         56509     0.259      0.179         0     0.00000           1    2210
         57019     0.268      0.179         0     0.00000           1    2229
         57515     0.264      0.178         0     0.00000           1    2249
         58024     0.264      0.178         0     0.00000           1    2269
         58564     0.254      0.178         0     0.00000           1    2289
         59076     0.264      0.178         0     0.37145           4    2309
         59502     0.277      0.178         0     0.35218           4    2326
         60020     0.280      0.178         0     0.28249           2    2346
         60505     0.274      0.177         0     0.00000           1    2366
         61015     0.267      0.177         0     0.42144           2    2387
         61506     0.281      0.177         0     0.00000           1    2406
         62049     0.280      0.177         0     0.38267           4    2427
         62502     0.271      0.177         0     0.39863           3    2446
         63049     0.284      0.177         0     0.21546           3    2466
         63550     0.281      0.177         0     0.39848           4    2486
         64033     0.269      0.177         0     0.25055           3    2506
         64530     0.275      0.177         0     0.41818           3    2526
         65008     0.274      0.177         0     0.30551           2    2544
         65518     0.251      0.177         0     0.00000           1    2564
         66029     0.269      0.177         0     0.00000           1    2584
         66519     0.292      0.177         0     0.41074           2    2603
         67001     0.273      0.177         0     0.00000           1    2622
         67538     0.277      0.177         0     0.44417           4    2643
         68019     0.287      0.177         0     0.36802           3    2662
         68518     0.261      0.177         0     0.43565           3    2681
         69047     0.265      0.177         0     0.00000           1    2701
         69553     0.290      0.177         0     0.40801           3    2721
         70005     0.291      0.177         0     0.47270           2    2739
         70554     0.274      0.177         0     0.33413           3    2761
         71049     0.250      0.177         0     0.00000           1    2781
         71503     0.260      0.177         0     0.43415           4    2801
         72019     0.276      0.177         0     0.34560           4    2820
         72528     0.285      0.177         0     0.27949           4    2840
         73024     0.270      0.177         0     0.42844           4    2861
         73515     0.252      0.177         0     0.00000           1    2879
         74032     0.279      0.177         0     0.00000           1    2899
         74562     0.277      0.177         0     0.00000           1    2919
         75002     0.275      0.176         0     0.26487           2    2938
         75537     0.300      0.177         0     0.39722           4    2958
         76041     0.289      0.177         0     0.24679           4    2978
         76517     0.290      0.177         0     0.00000           1    2996
         77046     0.280      0.177         0     0.00000           1    3016
         77558     0.261      0.178         0     0.35906           4    3036
         78056     0.281      0.178         0     0.31307           2    3056
         78545     0.280      0.177         0     0.00000           1    3076
         79041     0.266      0.177         0     0.00000           1    3096
         79515     0.266      0.177         0     0.30836           3    3116
         80016     0.257      0.177         0     0.43469           3    3136
         80516     0.267      0.177         0     0.36906           2    3155
         81015     0.272      0.177         0     0.40079           3    3175
         81512     0.263      0.177         0     0.41784           2    3195
         82007     0.269      0.177         0     0.41653           2    3214
         82544     0.264      0.177         0     0.40014           2    3236
         83008     0.259      0.177         0     0.38715           4    3255
         83530     0.257      0.177         0     0.25391           4    3275
         84041     0.266      0.177         0     0.38599           4    3295
         84569     0.270      0.177         0     0.37672           4    3315
         85005     0.239      0.178         0     0.00000           1    3334
         85504     0.252      0.178         0     0.48784           4    3353
         86006     0.268      0.178         0     0.35574           4    3372
         86509     0.258      0.178         0     0.28783           4    3392
         87040     0.267      0.178         0     0.41664           4    3412
         87524     0.272      0.178         0     0.00000           1    3431
         88021     0.279      0.178         0     0.00000           1    3451
         88533     0.292      0.178         0     0.25877           2    3472
         89004     0.283      0.178         0     0.16547           2    3491
         89519     0.243      0.179         0     0.00000           1    3512
         90009     0.247      0.180         0     0.21123           2    3530
         90509     0.282      0.179         0     0.39694           3    3552
         91024     0.280      0.179         0     0.37193           2    3572
         91533     0.246      0.180         0     0.20245           3    3592
         92050     0.250      0.180         0     0.29047           2    3612
         92518     0.281      0.180         0     0.39844           4    3632
         93046     0.277      0.180         0     0.44413           4    3652
         93521     0.272      0.180         0     0.38372           3    3671
         94026     0.284      0.180         0     0.37580           2    3690
         94529     0.270      0.179         0     0.00000           1    3709
         95014     0.260      0.179         0     0.19899           3    3729
         95570     0.268      0.179         0     0.00000           1    3749
         96070     0.266      0.179         0     0.34465           4    3769
         96505     0.257      0.179         0     0.33542           2    3787
         97076     0.258      0.179         0     0.00000           1    3809
         97510     0.264      0.179         0     0.30693           2    3826
         98010     0.265      0.179         0     0.00000           1    3846
         98518     0.281      0.179         0     0.00000           1    3866
         99017     0.275      0.179         0     0.27700           2    3884
         99520     0.264      0.178         0     0.34324           3    3904
        100004     0.281      0.179         0     0.42106           4    3923
        100548     0.278      0.178         0     0.00000           1    3944
        101056     0.248      0.178         0     0.00000           1    3964
        101518     0.245      0.178         0     0.17939           3    3983
        102013     0.251      0.178         0     0.26920           2    4002
