# Fault induced at 230599 ms
#    Timestamp     Score     Threshold     Status   Raw Score   Component   Count
            76     0.610      0.587         0     0.60705           0      10
           594     0.631      0.593         0     0.59095           0      65
          1014     0.639      0.593         0     0.67149           0     110
          1537     0.680      0.611         0     0.60724           0     166
          2049     0.698      0.624         0     0.66991           0     221
          2559     0.681      0.620         0     0.69085           0     277
          3085     0.650      0.615         0     0.70103           0     332
          3599     0.560      0.643         0     0.63822           0     387
          4005     0.578      0.649         1     0.48155           0     428
          4517     0.643      0.642         1     0.55260           0     485
          5028     0.638      0.637         0     0.61689           0     538
          5543     0.610      0.634         0     0.65563           0     597
          6052     0.600      0.633         1     0.65987           0     649
          6566     0.596      0.632         1     0.66425           0     706
          7075     0.611      0.629         1     0.57090           0     757
          7587     0.645      0.627         0     0.65960           0     816
          8101     0.642      0.625         0     0.66994           0     870
          8514     0.633      0.623         0     0.65433           0     913
          9035     0.631      0.621         0     0.58602           0     971
          9544     0.632      0.619         0     0.52032           0    1029
         10061     0.636      0.617         0     0.59890           0    1085
         10571     0.619      0.616         0     0.68351           0    1139
         11091     0.612      0.615         0     0.62464           0    1195
         11502     0.661      0.615         0     0.60590           0    1240
         12017     0.667      0.615         0     0.70434           0    1297
         12525     0.615      0.615         0     0.61966           0    1350
         13037     0.619      0.614         0     0.63538           0    1405
         13550     0.648      0.613         0     0.61712           0    1463
         14062     0.649      0.612         0     0.79036           0    1518
         14583     0.606      0.612         0     0.62180           0    1575
         15095     0.609      0.612         0     0.48999           0    1633
         15506     0.661      0.612         0     0.63484           0    1676
         16020     0.647      0.611         0     0.69749           0    1733
         16531     0.617      0.611         0     0.68720           0    1788
         17044     0.619      0.610         0     0.69832           0    1844
         17557     0.627      0.610         0     0.61442           0    1899
         18066     0.655      0.609         0     0.61917           0    1952
         18580     0.678      0.610         0     0.68976           0    2009
         19095     0.660      0.610         0     0.62575           0    2064
         19502     0.644      0.610         0     0.69557           0    2107
         20013     0.674      0.610         0     0.66641           0    2164
         20517     0.705      0.613         0     0.67675           0    2218
         21027     0.687      0.614         0     0.80430           0    2275
         21535     0.665      0.614         0     0.65000           0    2330
         22046     0.684      0.615         0     0.71300           0    2385
         22561     0.672      0.615         0     0.71354           0    2438
         23068     0.660      0.614         0     0.62971           0    2492
         23580     0.681      0.615         0     0.66507           0    2548
         24087     0.666      0.614         0     0.66666           0    2602
         24596     0.664      0.614         0     0.65635           0    2656
         25008     0.633      0.614         0     0.70682           0    2700
         25522     0.574      0.616         0     0.57253           0    2757
         26038     0.565      0.619         0     0.62482           0    2812
         26560     0.596      0.620         0     0.57373           0    2870
         27065     0.610      0.618         0     0.58656           0    2923
         27580     0.626      0.617         0     0.60696           0    2981
         28096     0.658      0.617         0     0.67721           0    3038
         28504     0.606      0.614         0     0.63323           0    3081
         29017     0.584      0.614         0     0.56841           0    3137
         29529     0.611      0.614         0     0.64194           0    3192
         30043     0.604      0.615         0     0.57930           0    3248
         30549     0.607      0.615         0     0.58285           0    3303
         31061     0.649      0.614         0     0.53662           0    3358
         31570     0.653      0.613         0     0.61608           0    3412
         32083     0.634      0.613         0     0.73793           0    3467
         32600     0.623      0.613         0     0.60860           0    3523
         33008     0.634      0.613         0     0.62077           0    3567
         33513     0.656      0.613         0     0.66383           0    3623
         34024     0.667      0.614         0     0.63449           0    3677
         34543     0.674      0.614         0     0.74057           0    3736
         35056     0.667      0.615         0     0.74232           0    3791
         35569     0.680      0.615         0     0.62534           0    3846
         36073     0.649      0.615         0     0.69733           0    3899
         36585     0.614      0.615         0     0.56382           0    3955
         37000     0.627      0.615         0     0.66957           0    4000
         37509     0.665      0.615         0     0.70750           0    4054
         38028     0.698      0.616         0     0.77906           0    4113
         38540     0.666      0.617         0     0.66989           0    4168
         39046     0.643      0.617         0     0.52782           0    4222
         39558     0.660      0.616         0     0.57434           0    4277
         40071     0.683      0.616         0     0.65407           0    4333
         40581     0.684      0.617         0     0.69189           0    4391
         41091     0.673      0.617         0     0.70950           0    4447
         41598     0.664      0.617         0     0.67204           0    4502
         42007     0.632      0.616         0     0.59564           0    4547
         42517     0.593      0.618         0     0.72065           0    4604
         43030     0.610      0.619         0     0.64142           0    4660
         43548     0.656      0.618         0     0.61972           0    4716
         44065     0.706      0.620         0     0.62621           0    4772
         44577     0.689      0.621         0     0.79399           0    4829
         45090     0.648      0.621         0     0.57572           0    4884
         45500     0.677      0.619         0     0.69492           0    4930
         46005     0.666      0.618         0     0.73576           0    4984
         46516     0.660      0.618         0     0.58530           0    5038
         47020     0.704      0.619         0     0.69630           0    5095
         47533     0.713      0.621         0     0.75711           0    5150
         48040     0.668      0.622         0     0.67973           0    5206
         48552     0.659      0.621         0     0.67022           0    5260
         49062     0.656      0.621         0     0.65364           0    5316
         49567     0.674      0.621         0     0.59572           0    5370
         50073     0.704      0.623         0     0.76978           0    5424
         50583     0.687      0.620         0     0.65994           0    5481
         51089     0.646      0.616         0     0.68147           0    5537
         51600     0.625      0.615         0     0.60949           0    5590
         52007     0.636      0.614         0     0.65877           0    5632
         52515     0.620      0.614         0     0.57676           0    5689
         53025     0.634      0.614         0     0.56322           0    5744
         53537     0.643      0.613         0     0.65523           0    5800
         54044     0.596      0.612         0     0.56600           0    5855
         54556     0.576      0.615         0     0.59151           0    5911
         55067     0.617      0.614         0     0.54249           0    5967
         55575     0.622      0.613         0     0.58725           0    6020
         56090     0.598      0.615         0     0.60774           0    6077
         56507     0.603      0.616         0     0.67872           0    6122
         57027     0.599      0.618         0     0.69479           0    6182
         57544     0.577      0.620         0     0.45434           0    6237
         58052     0.597      0.622         0     0.62988           0    6295
         58559     0.643      0.622         0     0.65225           0    6349
         59071     0.634      0.622         0     0.65801           0    6405
         59579     0.621      0.622         0     0.61180           0    6461
         60092     0.671      0.622         0     0.59186           0    6515
         60500     0.692      0.622         0     0.67261           0    6562
         61006     0.651      0.622         0     0.64714           0    6617
         61514     0.626      0.622         0     0.66151           0    6673
         62023     0.641      0.622         0     0.60779           0    6726
         62541     0.645      0.622         0     0.56924           0    6782
         63050     0.661      0.620         0     0.72665           0    6839
         63571     0.660      0.620         0     0.68724           0    6893
         64080     0.653      0.620         0     0.69944           0    6949
         64594     0.668      0.620         0     0.65078           0    7006
         65000     0.642      0.620         0     0.66638           0    7051
         65507     0.654      0.619         0     0.68242           0    7106
         66012     0.686      0.619         0     0.67205           0    7162
         66518     0.650      0.619         0     0.72780           0    7218
         67025     0.605      0.620         0     0.64930           0    7273
         67535     0.636      0.619         0     0.60713           0    7330
         68041     0.667      0.618         0     0.63759           0    7385
         68553     0.643      0.618         0     0.63741           0    7441
         69062     0.662      0.616         0     0.63643           0    7496
         69568     0.670      0.615         0     0.69516           0    7550
         70077     0.655      0.615         0     0.64808           0    7606
         70587     0.666      0.615         0     0.66743           0    7661
         71098     0.653      0.615         0     0.67357           0    7717
         71505     0.649      0.615         0     0.61721           0    7761
         72018     0.664      0.613         0     0.64095           0    7815
         72539     0.684      0.611         0     0.66147           0    7870
         73048     0.690      0.612         0     0.70845           0    7927
         73555     0.669      0.612         0     0.68755           0    7983
         74060     0.647      0.612         0     0.69489           0    8037
         74579     0.629      0.612         0     0.58281           0    8091
         75094     0.614      0.610         0     0.60060           0    8147
         75505     0.645      0.609         0     0.64742           0    8193
         76018     0.656      0.609         0     0.71242           0    8249
         76533     0.630      0.609         0     0.59955           0    8305
         77045     0.631      0.609         0     0.67418           0    8360
         77564     0.679      0.610         0     0.56140           0    8417
         78072     0.699      0.611         0     0.71662           0    8471
         78582     0.663      0.612         0     0.65094           0    8527
         79093     0.613      0.611         0     0.60007           0    8583
         79504     0.607      0.609         0     0.76019           0    8628
         80015     0.615      0.609         0     0.64011           0    8683
         80524     0.617      0.609         0     0.62136           0    8737
         81036     0.662      0.608         0     0.63320           0    8794
         81550     0.713      0.609         0     0.63318           0    8851
         82060     0.721      0.611         0     0.73648           0    8904
         82573     0.696      0.609         0     0.66957           0    8960
         83079     0.686      0.608         0     0.67556           0    9013
         83592     0.660      0.608         0     0.74990           0    9068
         84004     0.614      0.608         0     0.66621           0    9113
         84514     0.597      0.609         0     0.54199           0    9169
         85023     0.598      0.611         0     0.60350           0    9224
         85537     0.621      0.611         0     0.63685           0    9280
         86045     0.664      0.611         0     0.65347           0    9335
         86560     0.672      0.611         0     0.76746           0    9391
         87073     0.682      0.611         0     0.68336           0    9447
         87590     0.687      0.612         0     0.69230           0    9502
         88006     0.696      0.613         0     0.66234           0    9547
         88519     0.685      0.613         0     0.71407           0    9601
         89028     0.638      0.613         0     0.70008           0    9657
         89535     0.626      0.614         0     0.74391           0    9712
         90045     0.642      0.614         0     0.66868           0    9767
         90556     0.656      0.614         0     0.64108           0    9821
         91067     0.635      0.613         0     0.72988           0    9875
         91580     0.618      0.614         0     0.63825           0    9932
         92090     0.600      0.614         0     0.61685           0    9985
         92600     0.579      0.617         0     0.52809           0   10040
         93010     0.590      0.619         0     0.56946           0   10085
         93520     0.605      0.620         0     0.62217           0   10140
         94038     0.647      0.620         0     0.59548           0   10196
         94546     0.679      0.620         0     0.71584           0   10254
         95053     0.635      0.620         0     0.71812           0   10309
         95564     0.571      0.623         0     0.60123           0   10364
         96074     0.594      0.625         0     0.53553           0   10421
         96581     0.641      0.625         0     0.61087           0   10476
         97094     0.655      0.625         0     0.63796           0   10532
         97503     0.663      0.624         0     0.71903           0   10576
         98015     0.651      0.623         0     0.70539           0   10631
         98524     0.663      0.623         0     0.68965           0   10688
         99040     0.671      0.623         0     0.73787           0   10743
         99547     0.631      0.623         0     0.60383           0   10797
        100056     0.590      0.624         0     0.63303           0   10854
        100565     0.561      0.628         0     0.58674           0   10907
        101078     0.552      0.633         0     0.63214           0   10963
        101598     0.630      0.633         0     0.53837           0   11018
        102011     0.669      0.633         0     0.72897           0   11065
        102525     0.646      0.632         0     0.69649           0   11120
        103038     0.627      0.630         0     0.57355           0   11174
        103550     0.584      0.632         0     0.68433           0   11231
        104059     0.611      0.632         0     0.53546           0   11286
        104567     0.678      0.632         0     0.70554           0   11341
        105078     0.688      0.633         0     0.63030           0   11396
        105588     0.670      0.633         0     0.70253           0   11454
        106092     0.653      0.633         0     0.69305           0   11508
        106601     0.627      0.630         0     0.62239           0   11561
        107011     0.631      0.626         0     0.58100           0   11607
        107525     0.663      0.625         0     0.65919           0   11660
        108040     0.639      0.623         0     0.66934           0   11716
        108549     0.626      0.623         0     0.68510           0   11772
        109059     0.610      0.623         0     0.70868           0   11830
        109564     0.610      0.623         0     0.58038           0   11882
        110080     0.628      0.622         0     0.64985           0   11940
        110599     0.652      0.622         0     0.53640           0   11999
        111008     0.660      0.622         0     0.67270           0   12042
        111518     0.610      0.621         0     0.58636           0   12096
        112033     0.611      0.620         0     0.54438           0   12150
