# Fault induced at 21572 ms
# Sliding window [200, 100]
# Statistical anomaly classifier [0.2, 0.001]
#    Timestamp     Score     Threshold     Status   Raw Score   Component   Count
             0     0.331      0.190         0     0.19282           0       0
           104     0.481      0.302         0     0.46966           0       5
           206     0.449      0.252         0     0.49268           0      10
           307     0.442      0.233         0     0.40565           0      15
           409     0.443      0.223         0     0.47810           0      20
           510     0.348      0.227         0     0.40870           0      25
           616     0.350      0.227         0     0.28640           0      30
           717     0.373      0.223         0     0.41408           0      35
           824     0.314      0.228         0     0.33114           0      40
           929     0.306      0.231         0     0.29714           0      45
          1034     0.375      0.227         0     0.31546           0      50
          1137     0.383      0.224         0     0.43524           0      55
          1243     0.411      0.221         0     0.33125           0      60
          1346     0.400      0.219         0     0.49018           0      65
          1452     0.359      0.218         0     0.30969           0      70
          1556     0.407      0.216         0     0.40916           0      75
          1660     0.448      0.217         0     0.40580           0      80
          1763     0.406      0.215         0     0.49065           0      85
          1870     0.389      0.214         0     0.32147           0      90
          1972     0.434      0.214         0     0.45590           0      95
          2073     0.380      0.212         0     0.41145           0      99
          2178     0.362      0.212         0     0.34762           0     105
          2282     0.402      0.211         0     0.37668           0     110
          2385     0.368      0.210         0     0.42711           0     114
          2490     0.304      0.212         0     0.30913           0     119
          2596     0.298      0.214         0     0.29817           0     124
          2702     0.316      0.215         0     0.31593           0     129
          2702     0.299      0.217         0     0.31593           0     129
          2808     0.299      0.218         0     0.28111           0     134
          2916     0.359      0.217         0     0.31784           0     139
          3020     0.382      0.216         0     0.40086           0     145
          3125     0.334      0.216         0     0.36406           0     151
          3230     0.319      0.216         0     0.30393           0     155
          3335     0.341      0.215         0     0.33470           0     160
          3440     0.324      0.215         0     0.34823           0     165
          3545     0.382      0.215         0     0.29883           0     170
          3648     0.462      0.216         0     0.46596           0     175
          3751     0.405      0.216         0     0.45750           0     180
          3856     0.413      0.215         0     0.35205           0     185
          3959     0.426      0.215         0     0.47447           0     190
          4063     0.426      0.215         0     0.37850           0     195
          4165     0.441      0.216         0     0.47417           0     200
          4269     0.365      0.215         0     0.40734           0     205
          4376     0.419      0.215         0     0.32314           0     210
          4479     0.445      0.215         0     0.51528           0     215
          4580     0.370      0.215         0     0.37431           0     219
          4684     0.391      0.214         0     0.36615           0     225
          4785     0.383      0.214         0     0.41510           0     230
          4889     0.353      0.213         0     0.35055           0     234
          4992     0.380      0.213         0     0.35524           0     239
          5095     0.405      0.213         0     0.40470           0     243
          5201     0.203      0.217         0     0.20251           0     248
          5201     0.285      0.217         0     0.20251           0     248
          5302     0.420      0.217         0     0.36774           0     252
          5405     0.417      0.216         0     0.47251           0     258
          5510     0.433      0.217         0     0.36246           0     263
          5613     0.435      0.217         0     0.50285           0     268
          5718     0.383      0.217         0     0.36671           0     273
          5822     0.451      0.218         0     0.39910           0     279
          5924     0.449      0.218         0     0.50367           0     283
          6030     0.402      0.218         0     0.39526           0     288
          6135     0.469      0.219         0     0.40889           0     293
          6238     0.460      0.220         0     0.52868           0     298
          6344     0.373      0.220         0     0.39101           0     303
          6450     0.358      0.220         0     0.35479           0     308
          6555     0.400      0.220         0     0.36133           0     313
          6659     0.406      0.219         0     0.43905           0     318
          6764     0.321      0.220         0     0.37332           0     324
          6870     0.333      0.221         0     0.26880           0     328
          6974     0.392      0.220         0     0.39800           0     334
          7078     0.368      0.220         0     0.38622           0     339
          7183     0.351      0.220         0     0.34993           0     344
          7287     0.385      0.220         0     0.35119           0     348
          7391     0.419      0.220         0     0.41888           0     353
          7495     0.423      0.219         0     0.41882           0     358
          7599     0.427      0.218         0     0.42702           0     363
          7703     0.415      0.218         0     0.41468           0     368
          7703     0.429      0.216         0     0.41468           0     368
          7806     0.383      0.215         0     0.44343           0     372
          7906     0.367      0.215         0     0.32249           0     376
          8010     0.469      0.216         0     0.41111           0     381
          8113     0.525      0.219         0     0.52667           0     386
          8216     0.495      0.219         0     0.52250           0     391
          8319     0.478      0.220         0     0.46829           0     396
          8422     0.466      0.219         0     0.48842           0     401
          8526     0.477      0.220         0     0.44341           0     406
          8629     0.400      0.220         0     0.51135           0     411
          8739     0.287      0.222         0     0.28921           0     416
          8849     0.265      0.226         0     0.28450           0     424
          8954     0.328      0.227         0     0.24536           0     428
          9055     0.315      0.228         0     0.41034           0     432
          9160     0.309      0.229         0     0.22065           0     437
          9262     0.344      0.230         0     0.39794           0     442
          9368     0.318      0.231         0     0.28973           0     447
          9472     0.313      0.231         0     0.34668           0     452
          9580     0.347      0.232         0     0.27888           0     457
          9683     0.360      0.232         0     0.41415           0     461
          9789     0.359      0.232         0     0.30492           0     467
          9890     0.366      0.232         0     0.41353           0     471
          9998     0.319      0.233         0     0.31924           0     476
         10104     0.313      0.234         0     0.31290           0     481
         10104     0.361      0.227         0     0.31290           0     481
         10208     0.470      0.226         0     0.40851           0     486
         10311     0.485      0.228         0     0.53245           0     491
         10415     0.475      0.229         0     0.43800           0     496
         10518     0.432      0.229         0     0.51171           0     501
         10623     0.386      0.229         0     0.35217           0     506
         10727     0.405      0.229         0     0.42037           0     511
         10831     0.431      0.228         0     0.38965           0     516
         10934     0.436      0.228         0     0.47191           0     521
         11038     0.446      0.228         0     0.40046           0     526
         11141     0.449      0.228         0     0.49228           0     531
         11245     0.416      0.227         0     0.40558           0     536
         11349     0.470      0.228         0     0.42606           0     541
         11451     0.509      0.231         0     0.51318           0     546
         11553     0.504      0.233         0     0.50551           0     551
         11656     0.491      0.235         0     0.50224           0     556
         11759     0.486      0.235         0     0.47985           0     561
         11862     0.459      0.234         0     0.49278           0     567
         11966     0.466      0.235         0     0.42535           0     572
         12069     0.461      0.235         0     0.50628           0     577
         12173     0.443      0.235         0     0.41641           0     582
         12276     0.416      0.234         0     0.46946           0     588
         12380     0.377      0.235         0     0.36166           0     593
         12484     0.354      0.235         0     0.39291           0     598
         12590     0.417      0.235         0     0.31546           0     603
         12693     0.465      0.236         0     0.51931           0     608
         12797     0.410      0.236         0     0.41031           0     613
         12901     0.398      0.236         0     0.39835           0     618
         12901     0.442      0.235         0     0.39835           0     618
         13004     0.426      0.235         0     0.48608           0     623
         13108     0.452      0.232         0     0.36601           0     627
         13211     0.550      0.235         0     0.53827           0     632
         13314     0.539      0.237         0     0.56113           0     637
         13417     0.518      0.239         0     0.51686           0     643
         13520     0.447      0.238         0     0.51818           0     648
         13625     0.370      0.239         0     0.37524           0     653
         13730     0.363      0.236         0     0.36447           0     658
         13835     0.353      0.232         0     0.36099           0     663
         13940     0.369      0.231         0     0.34575           0     668
         14044     0.421      0.229         0     0.39279           0     673
         14146     0.441      0.227         0     0.44841           0     678
         14249     0.384      0.226         0     0.43307           0     683
         14354     0.331      0.225         0     0.33589           0     690
         14461     0.373      0.223         0     0.32573           0     695
         14564     0.384      0.222         0     0.42064           0     699
         14669     0.289      0.225         0     0.34756           0     704
         14775     0.312      0.227         0     0.23126           0     709
         14876     0.392      0.226         0     0.39264           0     714
         14977     0.414      0.224         0     0.39121           0     719
         15079     0.391      0.222         0     0.43773           0     724
         15183     0.360      0.222         0     0.34370           0     730
         15284     0.406      0.221         0     0.37586           0     734
         15387     0.397      0.221         0     0.43581           0     740
         15488     0.307      0.223         0     0.35841           0     743
         15595     0.323      0.225         0     0.25551           0     748
         15699     0.390      0.225         0     0.38989           0     754
         15804     0.323      0.226         0     0.32315           0     759
         15804     0.424      0.226         0     0.32315           0     759
         15906     0.449      0.227         0     0.52396           0     764
         16012     0.441      0.226         0     0.37482           0     769
         16115     0.509      0.228         0     0.50682           0     774
         16218     0.428      0.228         0     0.51059           0     779
         16325     0.372      0.228         0     0.34601           0     784
         16429     0.353      0.227         0     0.39798           0     789
         16534     0.340      0.226         0     0.30767           0     796
         16635     0.355      0.225         0     0.37269           0     799
         16741     0.424      0.224         0     0.33685           0     805
         16843     0.411      0.223         0     0.51064           0     811
         16947     0.323      0.224         0     0.31155           0     815
         17052     0.334      0.224         0     0.33544           0     821
         17157     0.380      0.223         0     0.33324           0     826
         17260     0.405      0.223         0     0.42760           0     831
         17363     0.322      0.224         0     0.38179           0     837
         17467     0.263      0.228         0     0.26321           0     841
         17573     0.337      0.228         0     0.26180           0     847
         17674     0.432      0.227         0     0.41243           0     852
         17776     0.468      0.228         0     0.45148           0     857
         17879     0.405      0.228         0     0.48516           0     862
         17983     0.340      0.228         0     0.32459           0     866
         18087     0.402      0.228         0     0.35633           0     871
         18190     0.395      0.227         0     0.44699           0     876
         18294     0.401      0.222         0     0.34216           0     881
         18397     0.460      0.218         0     0.46018           0     887
         18501     0.388      0.215         0     0.38845           0     892
         18501     0.446      0.215         0     0.38845           0     892
         18604     0.464      0.216         0     0.50332           0     897
         18708     0.434      0.216         0     0.42434           0     902
         18809     0.459      0.217         0     0.44314           0     907
         18912     0.403      0.217         0     0.47535           0     912
         19017     0.391      0.217         0     0.33045           0     917
         19120     0.410      0.217         0     0.45139           0     922
         19224     0.427      0.217         0     0.36894           0     927
         19327     0.482      0.218         0     0.48599           0     933
         19428     0.452      0.219         0     0.47824           0     938
         19532     0.458      0.219         0     0.42482           0     943
         19633     0.479      0.219         0     0.49132           0     948
         19737     0.450      0.218         0     0.46766           0     953
         19841     0.426      0.218         0     0.43165           0     959
         19945     0.465      0.218         0     0.42007           0     964
         20047     0.487      0.220         0     0.51004           0     969
         20150     0.475      0.220         0     0.46467           0     973
         20252     0.496      0.222         0     0.48592           0     978
         20355     0.485      0.223         0     0.50561           0     983
         20457     0.434      0.221         0     0.46537           0     988
         20561     0.463      0.220         0     0.40176           0     993
         20664     0.450      0.220         0     0.52368           0     998
         20768     0.370      0.219         0     0.37652           0    1004
         20869     0.383      0.219         0     0.36351           0    1007
         20973     0.403      0.219         0     0.40335           0    1013
         21074     0.446      0.219         0     0.40241           0    1017
         21177     0.389      0.217         0     0.49054           0    1022
         21284     0.372      0.217         0     0.28766           0    1028
         21386     0.450      0.217         0     0.45703           0    1033
         21488     0.440      0.217         0     0.44201           0    1038
         21589     0.405      0.215         0     0.43836           0    1043
         21693     0.393      0.215         0     0.37237           0    1049
         21794     0.428      0.215         0     0.41433           0    1054
         21895     0.464      0.215         0     0.44106           0    1059
         21997     0.487      0.214         0     0.48708           0    1064
         22102     0.354      0.214         0     0.35443           0    1069
         22102     0.395      0.213         0     0.35443           0    1069
         22203     0.461      0.214         0     0.43508           0    1074
         22306     0.454      0.212         0     0.48667           0    1079
         22409     0.353      0.207         0     0.42220           0    1083
         22514     0.394      0.206         0     0.28315           0    1087
         22617     0.469      0.206         0     0.50578           0    1093
         22718     0.438      0.206         0     0.43220           0    1098
         22819     0.472      0.206         0     0.44389           0    1102
         22922     0.429      0.204         0     0.50085           0    1108
         23028     0.345      0.206         0     0.35717           0    1113
         23134     0.406      0.206         0     0.33307           0    1118
         23237     0.417      0.205         0     0.47952           0    1123
         23342     0.372      0.206         0     0.35415           0    1128
         23446     0.446      0.206         0     0.39072           0    1134
         23549     0.472      0.206         0     0.50221           0    1139
         23650     0.408      0.206         0     0.44202           0    1144
         23751     0.367      0.207         0     0.37379           0    1148
         23856     0.415      0.206         0     0.36024           0    1154
         23957     0.404      0.206         0     0.47000           0    1159
         24062     0.419      0.206         0     0.33880           0    1164
         24164     0.444      0.206         0     0.49934           0    1169
         24268     0.410      0.206         0     0.38865           0    1174
         24370     0.392      0.206         0     0.43136           0    1178
         24475     0.329      0.208         0     0.35334           0    1183
         24582     0.327      0.209         0     0.30462           0    1188
         24690     0.395      0.209         0     0.35033           0    1195
         24791     0.428      0.209         0     0.43930           0    1200
         24893     0.392      0.209         0     0.41736           0    1204
         24994     0.349      0.209         0     0.36716           0    1208
         25099     0.340      0.210         0     0.33029           0    1214
         25199     0.350      0.210         0     0.35042           0    1219
         25300     0.456      0.209         0     0.45608           0    1224
         25300     0.396      0.207         0     0.45608           0    1224
         25400     0.387      0.207         0     0.33626           0    1228
         25504     0.437      0.207         0     0.43680           0    1233
         25608     0.357      0.207         0     0.43765           0    1238
         25714     0.313      0.209         0     0.27624           0    1242
         25816     0.303      0.211         0     0.35076           0    1245
         25920     0.221      0.217         0     0.25571           0    1248
         26028     0.182      0.226         1     0.18706           0    1251
         26132     0.216      0.233         1     0.17776           0    1253
         26235     0.208      0.239         1     0.25336           0    1255
         26337     0.163      0.248         1     0.16350           0    1256
         26440     0.163      0.257         1     0.16308           0    1257
         26542     0.163      0.266         1     0.16308           0    1258
