# Fault induced at 18985 ms
# Sliding window [200, 100]
# Statistical anomaly classifier [0.35, 0.001]
#    Timestamp     Score     Threshold     Status   Raw Score   Component   Count
            95     0.426      0.332         0     0.42624           0       4
           206     0.233      0.658         1     0.23342           0      14
           206     0.265      0.520         1     0.23342           0      14
           313     0.365      0.472         1     0.29573           0      27
           415     0.463      0.506         1     0.43451           0      44
           516     0.449      0.499         1     0.49093           0      61
           623     0.397      0.474         1     0.40647           0      78
           728     0.314      0.461         1     0.38770           0      93
           851     0.301      0.453         1     0.23939           0     108
           954     0.394      0.442         1     0.36321           0     125
          1056     0.432      0.439         1     0.42441           0     140
          1160     0.451      0.439         1     0.43942           0     157
          1266     0.478      0.445         1     0.46320           0     173
          1370     0.497      0.453         1     0.49270           0     190
          1474     0.495      0.457         1     0.50100           0     207
          1576     0.477      0.456         1     0.48903           0     223
          1679     0.465      0.452         1     0.46510           0     241
          1781     0.395      0.445         1     0.46423           0     258
          1894     0.333      0.444         1     0.32486           0     274
          1995     0.381      0.438         1     0.34152           0     288
          2097     0.422      0.433         1     0.41987           0     306
          2198     0.424      0.429         1     0.42441           0     319
          2302     0.393      0.425         1     0.39327           0     337
          2302     0.337      0.424         1     0.39327           0     337
          2422     0.313      0.425         1     0.27974           0     354
          2529     0.347      0.423         1     0.34700           0     372
          2633     0.353      0.421         1     0.34786           0     390
          2735     0.345      0.419         1     0.35873           0     405
          2853     0.388      0.416         1     0.33161           0     424
          2954     0.454      0.415         1     0.44412           0     440
          3056     0.441      0.414         1     0.46302           0     457
          3158     0.400      0.411         1     0.41814           0     476
          3263     0.343      0.410         1     0.38206           0     493
          3369     0.320      0.410         1     0.30393           0     508
          3474     0.382      0.408         1     0.33670           0     525
          3576     0.427      0.407         1     0.42734           0     543
          3678     0.429      0.405         1     0.42751           0     559
          3781     0.447      0.405         1     0.43040           0     577
          3883     0.472      0.405         1     0.46421           0     594
          3984     0.474      0.406         1     0.47961           0     612
          4084     0.446      0.405         1     0.46887           0     628
          4189     0.463      0.405         1     0.42253           0     645
          4291     0.497      0.407         1     0.50326           0     662
          4393     0.480      0.408         1     0.49170           0     679
          4496     0.474      0.408         1     0.46874           0     696
          4597     0.482      0.409         1     0.48017           0     712
          4699     0.483      0.409         0     0.48314           0     730
          4800     0.419      0.407         0     0.41852           0     746
          4800     0.418      0.406         0     0.41852           0     746
          4902     0.407      0.404         0     0.41841           0     762
          5005     0.409      0.404         0     0.39572           0     779
          5107     0.427      0.393         0     0.42175           0     798
          5210     0.446      0.385         0     0.43179           0     816
          5311     0.439      0.385         0     0.46032           0     833
          5413     0.384      0.384         0     0.41845           0     847
          5520     0.379      0.384         0     0.34946           0     863
          5621     0.414      0.384         0     0.40883           0     879
          5723     0.407      0.380         0     0.41983           0     897
          5826     0.418      0.375         0     0.39363           0     914
          5928     0.406      0.375         0     0.44205           0     928
          6032     0.388      0.376         0     0.37081           0     946
          6135     0.435      0.375         0     0.40446           0     963
          6237     0.448      0.374         0     0.46618           0     980
          6338     0.415      0.372         0     0.43035           0     996
