#    Timestamp     Score     Threshold     Status   Raw Score   Component   Count
            33     0.573      0.393         0     0.62545           0       9
           552     0.600      0.398         0     0.55373           0      94
          1072     0.645      0.411         0     0.65137           0     179
          1592     0.634      0.408         0     0.62481           0     264
          2001     0.606      0.404         0     0.68910           0     333
          2514     0.588      0.403         0     0.62880           0     420
          3036     0.583      0.403         0     0.58405           0     507
          3545     0.567      0.403         0     0.54193           0     590
          4050     0.561      0.404         0     0.53675           0     676
          4563     0.597      0.403         0     0.55471           0     762
          5073     0.600      0.402         0     0.62550           0     850
          5584     0.570      0.402         0     0.61375           0     936
          7762     0.537      0.405         0     0.32769           0    1006
          7762     0.578      0.404         0     0.32769           0    1006
          8274     0.629      0.405         0     0.56762           0    1093
          8792     0.634      0.405         0     0.60122           0    1178
          9311     0.638      0.406         0     0.61109           0    1265
          9832     0.621      0.406         0     0.58370           0    1353
         10345     0.614      0.405         0     0.57019           0    1437
         10861     0.624      0.405         0     0.63677           0    1523
         11275     0.626      0.405         0     0.67447           0    1592
         11792     0.630      0.405         0     0.70367           0    1680
         12311     0.617      0.404         0     0.63412           0    1765
         12824     0.597      0.404         0     0.62614           0    1851
         13345     0.576      0.404         0     0.52985           0    1937
         13861     0.480      0.411         0     0.57509           0    2024
         14536     0.503      0.415         0     0.10447           0    2095
         14842     0.621      0.415         0     0.57880           0    2150
         15349     0.610      0.414         0     0.69500           0    2233
         15855     0.588      0.413         0     0.60248           0    2319
         16271     0.625      0.413         0     0.52786           0    2386
         16791     0.637      0.413         0     0.62152           0    2470
         17304     0.612      0.413         0     0.58776           0    2557
         17814     0.598      0.412         0     0.57485           0    2645
         18326     0.605      0.411         0     0.60841           0    2731
         18844     0.578      0.411         0     0.55497           0    2818
         19354     0.607      0.411         0     0.49560           0    2901
         19865     0.650      0.411         0     0.60660           0    2988
         20271     0.637      0.411         0     0.69662           0    3056
         20783     0.613      0.411         0     0.66845           0    3142
         21294     0.591      0.410         0     0.55135           0    3226
         21809     0.618      0.410         0     0.61184           0    3312
         22328     0.649      0.410         0     0.67013           0    3401
         22839     0.662      0.411         0     0.59110           0    3483
         23347     0.650      0.411         0     0.66018           0    3568
         23855     0.660      0.412         0     0.67520           0    3655
         24273     0.639      0.412         0     0.74315           0    3723
         24787     0.580      0.412         0     0.59069           0    3806
         25297     0.599      0.411         0     0.55060           0    3889
         25812     0.642      0.411         0     0.60714           0    3978
         26327     0.639      0.411         0     0.58806           0    4064
         26838     0.636      0.411         0     0.65417           0    4151
         27354     0.619      0.411         0     0.62309           0    4235
         27863     0.597      0.411         0     0.57001           0    4323
         28270     0.639      0.411         0     0.65422           0    4388
         28790     0.627      0.411         0     0.60626           0    4474
         29300     0.586      0.411         0     0.64636           0    4563
         29804     0.622      0.411         0     0.52543           0    4645
         30315     0.627      0.410         0     0.61715           0    4732
         30826     0.599      0.410         0     0.60809           0    4815
         31343     0.636      0.410         0     0.55276           0    4901
         31852     0.655      0.410         0     0.72419           0    4989
         32360     0.650      0.409         0     0.63735           0    5075
         32765     0.635      0.409         0     0.62138           0    5143
         33271     0.629      0.409         0     0.58816           0    5229
         33780     0.669      0.409         0     0.64011           0    5314
         34291     0.672      0.410         0     0.73093           0    5403
         34807     0.644      0.410         0     0.67149           0    5487
         35317     0.626      0.410         0     0.64361           0    5571
         35832     0.663      0.411         0     0.56288           0    5656
         36347     0.685      0.412         0     0.72021           0    5740
         36855     0.621      0.412         0     0.70289           0    5827
         37363     0.585      0.412         0     0.61134           0    5912
         37779     0.605      0.412         0     0.60515           0    5982
         38290     0.631      0.412         0     0.58467           0    6065
         38798     0.646      0.406         0     0.60008           0    6150
         39313     0.652      0.402         0     0.68629           0    6235
         39825     0.653      0.402         0     0.63594           0    6322
         40332     0.666      0.403         0     0.67407           0    6407
         40846     0.662      0.402         0     0.73929           0    6492
         41267     0.617      0.402         0     0.66140           0    6562
         41784     0.588      0.403         0     0.60325           0    6646
         42302     0.593      0.403         0     0.48994           0    6728
         42814     0.609      0.403         0     0.54717           0    6816
         43325     0.594      0.403         0     0.68366           0    6903
         43847     0.616      0.402         0     0.55223           0    6989
         44263     0.615      0.402         0     0.62828           0    7060
         44775     0.586      0.403         0     0.57526           0    7146
         45292     0.587      0.403         0     0.56826           0    7233
         45803     0.612      0.403         0     0.59038           0    7318
         46330     0.631      0.403         0     0.60527           0    7406
         46841     0.608      0.403         0     0.67484           0    7491
         47264     0.609      0.403         0     0.45592           0    7561
         47775     0.640      0.403         0     0.54584           0    7647
         48288     0.669      0.403         0     0.68900           0    7737
         48796     0.647      0.403         0     0.67312           0    7821
         49304     0.617      0.403         0     0.59216           0    7908
         49821     0.620      0.402         0     0.54874           0    7991
         50343     0.626      0.402         0     0.60120           0    8079
         50860     0.650      0.402         0     0.57944           0    8163
         51268     0.653      0.402         0     0.61465           0    8232
         51778     0.620      0.402         0     0.69830           0    8321
         52299     0.612      0.402         0     0.60222           0    8407
         52812     0.637      0.402         0     0.69051           0    8496
         53324     0.642      0.402         0     0.63498           0    8582
         53830     0.633      0.402         0     0.58230           0    8666
         54339     0.618      0.401         0     0.68796           0    8751
         54848     0.616      0.402         0     0.56504           0    8835
         55359     0.631      0.402         0     0.59670           0    8921
         55764     0.644      0.401         0     0.59956           0    8988
         56277     0.623      0.401         0     0.61926           0    9075
         56797     0.602      0.401         0     0.57373           0    9159
         57314     0.578      0.402         0     0.59237           0    9245
         57830     0.564      0.403         0     0.60809           0    9330
         58352     0.605      0.403         0     0.55363           0    9418
         58764     0.633      0.403         0     0.62003           0    9487
         59272     0.607      0.402         0     0.64750           0    9571
         59786     0.582      0.402         0     0.56224           0    9655
         60295     0.586      0.403         0     0.61621           0    9742
         60809     0.590      0.403         0     0.55524           0    9826
         61326     0.592      0.402         0     0.55550           0    9915
         61834     0.573      0.402         0     0.61336           0   10000
         62340     0.591      0.402         0     0.61340           0   10083
         62854     0.612      0.402         0     0.62733           0   10171
         63264     0.617      0.402         0     0.59139           0   10238
         63771     0.608      0.402         0     0.64022           0   10324
         64281     0.583      0.402         0     0.60418           0   10408
         64792     0.575      0.402         0     0.54808           0   10495
         65309     0.584      0.401         0     0.57097           0   10579
         65822     0.615      0.400         0     0.56684           0   10663
         66338     0.656      0.401         0     0.58556           0   10751
         66850     0.682      0.402         0     0.58681           0   10837
         67358     0.656      0.402         0     0.69775           0   10924
         67767     0.599      0.402         0     0.64783           0   10990
         68275     0.590      0.403         0     0.59326           0   11076
         68789     0.640      0.403         0     0.57277           0   11159
         69301     0.654      0.403         0     0.64400           0   11245
         69819     0.649      0.403         0     0.69217           0   11333
         70328     0.663      0.403         0     0.70977           0   11419
         70844     0.662      0.404         0     0.68096           0   11503
         71354     0.641      0.404         0     0.69724           0   11592
         71859     0.658      0.404         0     0.61196           0   11673
         72270     0.653      0.405         0     0.66160           0   11743
         72787     0.645      0.405         0     0.60195           0   11828
         73294     0.640      0.404         0     0.62770           0   11912
         73801     0.634      0.404         0     0.68639           0   12001
         74320     0.639      0.404         0     0.67738           0   12090
         74825     0.627      0.404         0     0.57877           0   12175
         75343     0.632      0.404         0     0.67484           0   12263
         75862     0.638      0.404         0     0.60798           0   12349
         76274     0.649      0.404         0     0.61731           0   12420
         76785     0.646      0.404         0     0.66359           0   12506
         77296     0.650      0.404         0     0.63763           0   12592
         77812     0.659      0.405         0     0.60499           0   12678
         78317     0.644      0.405         0     0.67516           0   12764
         78823     0.628      0.405         0     0.64233           0   12849
         79338     0.651      0.405         0     0.65912           0   12932
         79846     0.644      0.405         0     0.65770           0   13017
         80354     0.605      0.405         0     0.59512           0   13104
         80766     0.610      0.405         0     0.66686           0   13176
         81286     0.640      0.405         0     0.60969           0   13262
         81795     0.640      0.405         0     0.66793           0   13347
         82304     0.643      0.404         0     0.65747           0   13433
         82819     0.655      0.404         0     0.63115           0   13517
         83338     0.620      0.403         0     0.61633           0   13602
         83849     0.617      0.403         0     0.66836           0   13690
         84360     0.629      0.403         0     0.59612           0   13773
         84763     0.644      0.403         0     0.65547           0   13841
         85274     0.628      0.402         0     0.67761           0   13927
         85787     0.577      0.403         0     0.59601           0   14014
         86299     0.542      0.404         0     0.58414           0   14099
         86809     0.581      0.404         0     0.47012           0   14183
         87320     0.635      0.404         0     0.56694           0   14272
         87828     0.634      0.404         0     0.59903           0   14358
         88334     0.689      0.404         0     0.61994           0   14447
         88845     0.712      0.406         0     0.68878           0   14531
         89353     0.677      0.406         0     0.71581           0   14614
         89765     0.645      0.405         0     0.70834           0   14683
         90287     0.601      0.404         0     0.62466           0   14769
         90804     0.598      0.405         0     0.52827           0   14854
