#    Timestamp     Score     Threshold     Status   Raw Score   Component   Count
             0     0.654      0.490         0     0.37680          20       0
           508     0.672      0.534         0     0.71737          18      49
          1006     0.680      0.536         0     0.69116          15      99
          1517     0.687      0.543         0     0.76645          17     148
          2004     0.677      0.530         0     0.75791          13     197
          2502     0.668      0.524         0     0.66448          15     247
          3005     0.674      0.518         0     0.54227          15     296
          3502     0.679      0.515         0     0.67764          19     347
          4004     0.671      0.513         0     0.70118          20     394
          4514     0.665      0.512         0     0.61655          20     445
          5000     0.681      0.512         0     0.63033          15     494
          5502     0.664      0.512         0     0.65574          17     542
          6011     0.661      0.513         0     0.59742          13     593
          6503     0.676      0.511         0     0.71908          22     640
          7000     0.675      0.510         0     0.66960          15     690
          7510     0.679      0.509         0     0.56647          13     739
          8007     0.656      0.513         0     0.63314          17     790
          8502     0.666      0.512         0     0.61513          22     838
          9003     0.674      0.511         0     0.65560          22     887
          9503     0.657      0.513         0     0.59010          22     938
         10006     0.664      0.512         0     0.64992          22     986
         10516     0.658      0.513         0     0.63889          21    1038
         11022     0.658      0.514         0     0.69693          21    1088
         11501     0.658      0.514         0     0.65248          16    1134
         12001     0.663      0.514         0     0.72057          18    1186
         12507     0.676      0.513         0     0.74964          16    1234
         13003     0.671      0.512         0     0.70619          17    1285
         13514     0.664      0.512         0     0.62262          15    1336
         14001     0.667      0.511         0     0.58804          15    1384
         14510     0.667      0.510         0     0.67326          22    1434
         15031     0.662      0.510         0     0.63393          22    1484
         15505     0.673      0.509         0     0.61805          15    1531
         16018     0.677      0.509         0     0.64580          16    1580
         16523     0.675      0.509         0     0.76964          16    1632
         17001     0.687      0.511         0     0.63149          19    1681
         17502     0.675      0.511         0     0.67291          20    1728
         18014     0.668      0.510         0     0.59995          14    1777
         18520     0.688      0.512         0     0.69594          20    1826
         19014     0.681      0.512         0     0.70749          14    1876
         19506     0.667      0.512         0     0.72108          14    1925
         20008     0.651      0.514         0     0.65495          19    1976
         20509     0.652      0.515         0     0.62724          21    2023
         21012     0.671      0.515         0     0.68427          21    2071
         21504     0.678      0.515         0     0.64077          14    2119
         22022     0.669      0.514         0     0.72990          17    2170
         22501     0.663      0.514         0     0.76943          17    2221
         23001     0.665      0.513         0     0.78514          17    2271
         23507     0.664      0.513         0     0.62927          21    2317
         24001     0.666      0.513         0     0.77133          22    2368
         24513     0.679      0.513         0     0.64882          20    2417
         25008     0.677      0.512         0     0.63173          15    2466
         25517     0.669      0.512         0     0.69633          16    2517
         26006     0.673      0.511         0     0.69798          20    2564
         26500     0.679      0.510         0     0.71997          17    2616
         27010     0.672      0.510         0     0.58232          15    2663
         27500     0.646      0.512         0     0.69009          14    2714
         28005     0.640      0.517         0     0.72683          15    2763
         28507     0.642      0.520         0     0.62669          20    2812
         29013     0.649      0.522         0     0.67448          21    2861
         29510     0.662      0.522         0     0.57970          13    2908
         30003     0.664      0.521         0     0.69143          13    2958
         30515     0.662      0.521         0     0.67558          20    3007
         31010     0.663      0.521         0     0.66159          20    3057
         31502     0.669      0.520         0     0.73904          17    3104
         32013     0.662      0.520         0     0.65430          13    3153
         32512     0.657      0.519         0     0.65929          15    3202
         33001     0.661      0.519         0     0.63738          15    3251
         33515     0.659      0.519         0     0.56598          22    3300
