# Fault: 255673 ms
#    Timestamp     Score     Threshold     Status   Raw Score   Component   Count
             0     0.505      0.409         0     0.24576           1       0
           504     0.547      0.477         0     0.70958           1      14
          1051     0.515      0.446         0     0.51422           2      35
          1506     0.516      0.435         0     0.56072           4      53
          2011     0.536      0.432         0     0.57845           1      71
          2513     0.528      0.428         0     0.49918           4      90
          3024     0.550      0.432         0     0.58296           4     111
          3508     0.560      0.438         0     0.58932           3     130
          4073     0.546      0.436         0     0.48524           3     151
          4527     0.581      0.451         0     0.48964           4     169
          5005     0.588      0.464         0     0.56574           3     187
          5501     0.569      0.463         0     0.57944           2     207
          6022     0.569      0.462         0     0.49634           2     227
          6505     0.592      0.470         0     0.55326           2     247
          7005     0.592      0.474         0     0.42538           4     265
          7522     0.573      0.472         0     0.46588           3     286
          8045     0.559      0.468         0     0.59006           2     306
          8550     0.558      0.465         0     0.51452           3     326
          9000     0.549      0.462         0     0.57275           4     343
          9502     0.541      0.460         0     0.60063           4     363
         10053     0.551      0.457         0     0.58705           2     384
         10582     0.579      0.457         0     0.36427           3     404
         11002     0.608      0.464         0     0.52752           3     422
         11524     0.601      0.468         0     0.64535           4     443
         12028     0.585      0.468         0     0.50342           4     463
         12523     0.560      0.466         0     0.50240           2     482
         13045     0.544      0.464         0     0.31221           4     502
         13527     0.561      0.462         0     0.48012           2     522
         14010     0.557      0.460         0     0.55708           4     540
         14500     0.549      0.459         0     0.66646           1     560
         15001     0.556      0.457         0     0.55793           1     578
         15519     0.563      0.456         0     0.61382           2     598
         16058     0.573      0.455         0     0.45256           2     618
         16525     0.566      0.453         0     0.66173           4     637
         17002     0.551      0.452         0     0.44867           1     655
         17515     0.534      0.452         0     0.54962           1     674
         18026     0.530      0.453         0     0.38140           3     694
         18547     0.532      0.453         0     0.49957           1     714
         19073     0.550      0.452         0     0.43692           4     734
         19506     0.577      0.452         0     0.56657           4     752
         20005     0.575      0.451         0     0.60357           2     771
         20505     0.587      0.452         0     0.47414           2     791
         21029     0.583      0.452         0     0.63510           2     811
         21539     0.562      0.451         0     0.46878           1     831
         22052     0.568      0.450         0     0.48867           1     851
