#    Timestamp     Score     Threshold     Status   Raw Score   Component   Count
             0     0.555      0.409         0     0.30571           3       0
           502     0.587      0.449         0     0.59881           2      20
          1016     0.606      0.460         0     0.56428           1      40
          1532     0.597      0.447         0     0.59351           3      60
          2000     0.566      0.444         0     0.68057           4      79
          2523     0.559      0.444         0     0.57460           3      99
          3006     0.573      0.439         0     0.61738           1     118
          3520     0.581      0.435         0     0.53290           1     138
          4016     0.581      0.432         0     0.66493           1     158
          4545     0.572      0.429         0     0.66410           1     178
          5050     0.574      0.427         0     0.45859           2     198
          5500     0.581      0.426         0     0.60832           3     216
          6018     0.564      0.426         0     0.47363           3     237
          6505     0.546      0.430         0     0.48837           1     255
          7002     0.562      0.429         0     0.65359           3     277
          7509     0.568      0.428         0     0.55823           1     297
          8015     0.563      0.427         0     0.58939           2     316
          8505     0.540      0.431         0     0.49644           3     335
          9016     0.532      0.436         0     0.55810           2     355
          9542     0.564      0.435         0     0.55221           2     375
         10013     0.541      0.436         0     0.53926           4     394
         10563     0.532      0.439         0     0.42890           3     414
         11076     0.550      0.439         0     0.44742           1     434
         11515     0.563      0.437         0     0.66734           1     453
         12037     0.581      0.437         0     0.53687           3     472
         12514     0.569      0.436         0     0.52624           2     491
         13003     0.560      0.435         0     0.66013           2     511
         13517     0.563      0.434         0     0.57004           2     531
         14010     0.579      0.434         0     0.51377           2     550
         14515     0.593      0.435         0     0.55874           2     570
         15016     0.602      0.437         0     0.60393           4     590
         15502     0.591      0.437         0     0.63352           3     609
         16006     0.565      0.437         0     0.65389           3     629
         16526     0.562      0.436         0     0.59146           1     650
         17034     0.576      0.435         0     0.65042           1     670
         17509     0.597      0.436         0     0.68470           4     689
         18012     0.607      0.438         0     0.59849           4     708
         18515     0.606      0.440         0     0.69597           4     728
         19018     0.586      0.440         0     0.51210           4     748
         19555     0.571      0.439         0     0.56931           4     768
         20019     0.577      0.438         0     0.52763           3     786
         20522     0.586      0.438         0     0.54614           2     806
         21000     0.571      0.437         0     0.58921           4     825
         21529     0.560      0.437         0     0.49137           4     846
         22021     0.579      0.436         0     0.49948           4     866
         22521     0.549      0.437         0     0.48684           4     886
         23000     0.542      0.438         0     0.45172           1     904
         23517     0.578      0.437         0     0.55204           1     923
         24044     0.584      0.437         0     0.58048           3     944
         24526     0.582      0.436         0     0.51490           3     964
         25003     0.561      0.436         0     0.62099           2     983
         25501     0.542      0.437         0     0.48748           2    1002
         26021     0.558      0.435         0     0.59913           3    1023
         26511     0.567      0.434         0     0.48261           3    1042
         27002     0.583      0.434         0     0.62844           1    1061
         27529     0.592      0.435         0     0.62368           1    1081
         28023     0.574      0.435         0     0.62039           1    1101
         28513     0.574      0.435         0     0.60768           3    1120
         29079     0.567      0.435         0     0.35035           4    1142
         29526     0.543      0.436         0     0.54227           2    1160
         30014     0.543      0.437         0     0.59966           2    1180
         30541     0.552      0.437         0     0.59182           2    1200
