# Timestamp induced at 51878 ms
#    Timestamp     Score     Threshold     Status   Raw Score   Component   Count
             0     0.459      0.535         1     0.28277           1       0
           313     0.514      0.583         1     0.44867           3       6
           526     0.566      0.627         1     0.49657           1      14
           757     0.566      0.619         1     0.56046           4      24
          1009     0.559      0.604         1     0.54275           3      32
          1314     0.570      0.598         1     0.59680           3      43
          1518     0.586      0.598         1     0.55204           1      51
          1781     0.586      0.595         1     0.61580           4      62
          2005     0.585      0.592         1     0.55407           1      71
          2298     0.580      0.588         1     0.51450           1      82
          2548     0.588      0.585         1     0.51178           3      92
          2755     0.596      0.584         1     0.64329           2     100
          3016     0.589      0.581         1     0.50423           1     110
          3260     0.578      0.578         1     0.58518           4     120
          3531     0.573      0.575         1     0.58540           1     130
          3753     0.592      0.574         1     0.55859           1     138
          4039     0.606      0.574         1     0.62915           2     149
          4253     0.593      0.573         1     0.59255           3     158
          4551     0.564      0.571         0     0.64462           2     169
          4760     0.565      0.569         0     0.56024           1     177
          5003     0.580      0.568         0     0.60265           2     187
          5283     0.596      0.567         0     0.61558           2     197
          5506     0.600      0.566         0     0.60028           2     206
          5752     0.597      0.566         0     0.55122           1     217
          6011     0.592      0.565         0     0.64099           2     226
          6307     0.581      0.564         0     0.52499           1     237
          6502     0.587      0.563         0     0.55719           1     245
          6763     0.578      0.562         0     0.65450           2     255
          7014     0.566      0.561         0     0.54508           4     264
          7255     0.576      0.560         0     0.56526           3     274
          7512     0.582      0.559         0     0.61814           4     284
          7760     0.579      0.559         0     0.55931           3     294
          8047     0.580      0.558         0     0.54268           1     305
          8260     0.586      0.557         0     0.57818           3     313
          8533     0.591      0.557         0     0.60168           4     324
          8752     0.587      0.556         0     0.52258           4     332
          9002     0.584      0.556         0     0.48885           1     343
          9250     0.587      0.555         0     0.55965           3     352
          9516     0.577      0.555         0     0.64831           2     362
          9751     0.554      0.555         0     0.55922           4     372
         10002     0.565      0.554         0     0.60838           3     381
         10273     0.584      0.554         0     0.46929           1     390
         10506     0.589      0.554         0     0.63657           4     401
         10750     0.585      0.553         0     0.64273           2     410
         11042     0.580      0.553         0     0.64326           2     422
         11290     0.568      0.553         0     0.48718           1     431
         11509     0.550      0.553         0     0.46696           1     439
         11808     0.543      0.553         0     0.57101           3     451
         12019     0.528      0.554         0     0.58550           3     459
         12258     0.517      0.556         0     0.55109           1     470
         12545     0.566      0.547         0     0.59066           2     479
         12758     0.583      0.545         0     0.54223           3     487
         13059     0.570      0.545         0     0.58273           3     499
         13263     0.568      0.545         0     0.47939           1     507
         13507     0.583      0.545         0     0.57156           3     517
         13793     0.571      0.545         0     0.55879           1     527
         14000     0.570      0.545         0     0.49931           1     535
         14252     0.591      0.545         0     0.61753           4     546
         14535     0.586      0.545         0     0.61837           2     555
         14753     0.585      0.545         0     0.51547           1     564
         15005     0.590      0.545         0     0.62896           4     574
         15258     0.590      0.545         0     0.53763           1     583
         15504     0.576      0.544         0     0.61765           4     594
         15760     0.564      0.545         0     0.63476           2     603
         16002     0.582      0.545         0     0.62744           2     612
         16281     0.603      0.545         0     0.53274           1     623
         16524     0.585      0.544         0     0.63262           2     632
         16757     0.576      0.544         0     0.48358           4     641
         17005     0.577      0.544         0     0.59454           3     651
         17250     0.566      0.544         0     0.62377           2     660
         17521     0.571      0.544         0     0.61331           3     671
         17770     0.583      0.544         0     0.55375           4     680
         18011     0.590      0.544         0     0.61263           2     690
         18280     0.579      0.543         0     0.55033           1     700
         18524     0.573      0.543         0     0.49989           4     709
         18768     0.580      0.543         0     0.55046           1     719
         19039     0.591      0.543         0     0.64627           2     729
         19258     0.596      0.543         0     0.55365           4     738
         19509     0.596      0.544         0     0.57234           1     748
         19775     0.585      0.544         0     0.58912           3     758
         20007     0.583      0.544         0     0.56296           4     767
         20251     0.587      0.544         0     0.64589           2     777
         20518     0.586      0.544         0     0.54512           1     787
         20770     0.590      0.544         0     0.60717           3     797
         21000     0.587      0.544         0     0.63792           2     806
         21268     0.583      0.544         0     0.59550           3     817
         21522     0.588      0.544         0     0.61402           2     826
         21790     0.581      0.544         0     0.59823           3     837
         22004     0.573      0.544         0     0.44567           1     845
         22277     0.570      0.543         0     0.54802           4     856
         22517     0.577      0.543         0     0.60215           3     866
         22763     0.591      0.543         0     0.57515           4     876
         23003     0.589      0.543         0     0.62878           2     885
         23318     0.594      0.544         0     0.62596           2     897
         23520     0.601      0.544         0     0.63824           2     905
