#  Fault induced at 101500 ms
#    Timestamp     Score     Threshold     Status   Raw Score   Component   Count
             0     0.598      0.451         0     0.00000          13       0
           514     0.701      0.592         0     0.89646          18      51
          1015     0.671      0.526         0     0.95739          14     101
          1535     0.651      0.501         0     0.75674          16     152
          2000     0.686      0.493         0     0.96625          22     200
          2515     0.674      0.486         0     0.39442          22     250
          3000     0.679      0.481         0     0.95536          22     300
          3507     0.688      0.478         0     0.76829          13     345
          4010     0.672      0.475         0     0.51057          13     395
          4510     0.658      0.473         0     0.84686          19     446
          5026     0.701      0.473         0     0.91465          15     496
          5512     0.712      0.475         0     0.91192          16     546
          6008     0.713      0.476         0     0.23959          19     595
          6521     0.795      0.500         0     0.84881          19     644
          7000     0.799      0.519         0     0.64720          21     691
          7503     0.704      0.515         0     0.02728          14     741
          8000     0.652      0.513         0     0.97858          14     789
          8515     0.692      0.510         0     0.37214          18     839
          9005     0.722      0.508         0     0.96853          22     889
          9503     0.671      0.505         0     0.91465          15     937
         10002     0.645      0.506         0     0.80420          15     986
         10514     0.711      0.504         0     0.72260          15    1036
         11008     0.705      0.501         0     0.98519          14    1086
         11511     0.686      0.499         0     1.00000          19    1135
         12001     0.722      0.498         0     0.85486          18    1185
         12531     0.736      0.498         0     0.72686          18    1235
         13008     0.728      0.498         0     0.99691          16    1284
         13500     0.712      0.496         0     0.45339          14    1334
         14005     0.718      0.495         0     0.39732          16    1384
         14505     0.704      0.493         0     0.87560          17    1432
         15008     0.692      0.492         0     0.67428          17    1481
         15515     0.694      0.491         0     1.00000          22    1530
         16000     0.693      0.490         0     0.96736          19    1579
         16509     0.682      0.489         0     0.76537          20    1629
         17015     0.691      0.487         0     0.78929          18    1679
         17519     0.674      0.487         0     0.91286          20    1728
         18006     0.678      0.486         0     0.67695          20    1775
         18515     0.733      0.486         0     0.51560          17    1825
         19007     0.704      0.485         0     0.73926          18    1874
         19501     0.714      0.485         0     0.57794          18    1926
         20004     0.724      0.484         0     0.20799          16    1975
         20515     0.686      0.484         0     0.96253          20    2024
         21000     0.729      0.483         0     0.96754          16    2071
         21504     0.731      0.483         0     0.18246          21    2121
         22004     0.682      0.483         0     0.81832          13    2167
         22513     0.692      0.482         0     0.85486          18    2216
         23005     0.718      0.482         0     0.57110          19    2265
         23513     0.680      0.481         0     0.54505          20    2314
         24018     0.684      0.481         0     0.99372          19    2364
         24500     0.691      0.480         0     0.89885          13    2411
         25012     0.682      0.475         0     0.33751          14    2459
         25510     0.748      0.476         0     0.86986          16    2509
         26010     0.746      0.477         0     0.86986          16    2559
         26505     0.687      0.475         0     0.73448          16    2607
         27019     0.673      0.476         0     0.93034          21    2657
         27514     0.720      0.475         0     0.37214          18    2707
         28003     0.730      0.475         0     0.72260          15    2756
         28506     0.701      0.475         0     0.49645          15    2805
         29010     0.702      0.475         0     0.91465          15    2856
         29502     0.734      0.474         0     0.67706          16    2904
         30009     0.725      0.474         0     0.87933          21    2952
         30507     0.697      0.474         0     0.56941          14    3002
         31004     0.697      0.474         0     0.89369          14    3051
         31500     0.691      0.470         0     0.97453          21    3099
         32001     0.682      0.465         0     0.83785          16    3147
         32508     0.679      0.465         0     0.68209          14    3198
         33000     0.663      0.465         0     0.89703          17    3246
         33518     0.687      0.465         0     0.92424          17    3296
         34016     0.732      0.465         0     0.47919          19    3346
         34502     0.703      0.465         0     0.68209          14    3394
         35010     0.675      0.463         0     1.00000          16    3445
         35501     0.712      0.463         0     0.85759          22    3495
         36004     0.753      0.465         0     0.44824          16    3544
         36508     0.729      0.465         0     0.97002          13    3593
         37000     0.683      0.465         0     0.81646          13    3643
         37501     0.659      0.465         0     0.39442          22    3693
         38027     0.676      0.465         0     0.69132          21    3744
         38509     0.678      0.466         0     0.50988          14    3791
         39006     0.687      0.466         0     0.95536          22    3840
         39500     0.683      0.466         0     0.98218          20    3887
         40036     0.739      0.466         0     0.98735          22    3940
         40500     0.773      0.469         0     1.00000          13    3984
         41004     0.717      0.469         0     0.64720          21    4034
         41507     0.699      0.469         0     0.66684          20    4085
         42020     0.709      0.469         0     0.91477          16    4134
         42502     0.691      0.468         0     0.77499          16    4183
         43000     0.659      0.469         0     0.99725          22    4231
         43515     0.653      0.470         0     0.99195          18    4281
         44007     0.697      0.470         0     0.82225          17    4329
         44508     0.739      0.471         0     0.98366          15    4379
         45001     0.706      0.470         0     0.49218          18    4429
         45506     0.707      0.470         0     0.96952          18    4478
         46010     0.698      0.470         0     0.58911          13    4526
         46504     0.671      0.470         0     0.95465          14    4576
         47007     0.714      0.470         0     0.49760          16    4626
         47536     0.712      0.470         0     0.93805          19    4678
         48001     0.659      0.471         0     0.72991          17    4725
         48513     0.682      0.471         0     0.96253          20    4774
         49001     0.706      0.470         0     0.69132          21    4825
         49511     0.735      0.471         0     0.99691          16    4876
         50015     0.750      0.472         0     0.96410          22    4925
         50504     0.674      0.471         0     1.00000          15    4974
         51010     0.675      0.471         0     0.49218          18    5023
         51500     0.739      0.471         0     0.97453          21    5071
         52014     0.707      0.471         0     0.94591          13    5121
         52517     0.666      0.471         0     0.99682          14    5171
         53023     0.681      0.471         0     0.95536          22    5222
         53501     0.701      0.471         0     0.87933          21    5270
         54013     0.713      0.471         0     0.24891          16    5319
         54507     0.712      0.471         0     0.63226          16    5369
         55005     0.721      0.470         0     0.71917          20    5419
         55515     0.686      0.471         0     0.19660          20    5470
         56011     0.668      0.471         0     0.80281          14    5519
         56500     0.692      0.471         0     0.72753          13    5567
         57003     0.687      0.471         0     0.28590          20    5617
         57500     0.719      0.471         0     0.78888          21    5666
         58002     0.695      0.470         0     0.96853          22    5716
         58502     0.709      0.470         0     0.86527          13    5764
         59021     0.725      0.470         0     0.80204          13    5815
         59501     0.712      0.470         0     0.99682          14    5864
         60000     0.721      0.470         0     0.20440          19    5911
         60509     0.692      0.470         0     0.59799          22    5961
         61001     0.698      0.468         0     0.63226          16    6011
         61509     0.719      0.468         0     0.80420          15    6060
         62008     0.738      0.469         0     0.89703          17    6110
         62502     0.699      0.468         0     0.58911          13    6158
         63005     0.678      0.468         0     0.96754          16    6207
         63501     0.726      0.468         0     0.02601          18    6255
         64011     0.731      0.468         0     0.72293          21    6305
         64500     0.740      0.469         0     0.95465          14    6354
