#    Timestamp     Score     Threshold     Status   Raw Score   Component   Count
             0     0.587      0.451         0     0.00000          14       0
           500     0.676      0.556         0     1.00000          15      48
          1007     0.689      0.533         0     0.10597          21      98
          1500     0.697      0.520         0     0.98735          22     148
          2005     0.680      0.504         0     0.59190          19     198
          2513     0.684      0.495         0     0.89703          17     248
          3003     0.671      0.488         0     0.92424          17     298
          3500     0.654      0.483         0     0.67491          22     347
          4009     0.677      0.480         0     0.99243          14     395
          4501     0.728      0.486         0     0.95739          14     443
          5004     0.706      0.485         0     0.67721          21     491
          5500     0.668      0.482         0     0.90549          22     539
          6001     0.679      0.479         0     0.60568          22     591
          6502     0.690      0.478         0     0.98932          15     640
          7001     0.685      0.476         0     0.64446          15     690
          7527     0.660      0.475         0     0.85486          15     740
          8012     0.707      0.475         0     0.20124          16     787
          8511     0.741      0.479         0     0.94591          13     836
          9020     0.681      0.477         0     1.00000          22     886
          9512     0.661      0.476         0     0.93629          18     933
         10003     0.681      0.475         0     0.27571          19     982
         10503     0.712      0.475         0     0.85759          22    1033
         11013     0.697      0.474         0     0.41398          13    1084
         11507     0.663      0.474         0     0.52866          16    1132
         12004     0.707      0.474         0     0.53508          18    1182
         12502     0.667      0.473         0     0.62237          21    1232
         13004     0.647      0.473         0     1.00000          20    1281
         13513     0.706      0.473         0     0.96253          20    1332
         14006     0.687      0.472         0     0.80475          22    1381
         14513     0.715      0.473         0     0.18524          22    1432
         15012     0.732      0.474         0     0.99486          17    1482
         15503     0.657      0.474         0     0.99066          19    1530
         16000     0.635      0.475         0     0.73926          18    1578
         16510     0.695      0.474         0     0.53266          14    1628
         17000     0.740      0.476         0     0.53556          19    1678
         17504     0.741      0.478         0     0.78620          13    1727
         18002     0.730      0.478         0     0.81374          15    1774
         18504     0.701      0.478         0     0.95319          16    1827
         19000     0.696      0.477         0     0.62237          21    1876
         19527     0.725      0.477         0     1.00000          14    1926
         20017     0.703      0.477         0     0.79950          19    1975
         20501     0.698      0.476         0     0.96952          18    2025
         21016     0.718      0.476         0     0.91276          21    2075
         21508     0.704      0.476         0     0.75473          21    2123
         22002     0.688      0.475         0     0.99232          14    2170
         22502     0.712      0.475         0     0.93503          18    2221
         23002     0.720      0.475         0     0.77499          16    2270
         23501     0.706      0.474         0     0.95244          20    2321
         24023     0.723      0.474         0     0.66241          18    2371
         24501     0.730      0.475         0     0.95319          16    2419
         25000     0.725      0.469         0     0.98932          15    2468
         25500     0.720      0.469         0     0.32819          15    2516
         26011     0.661      0.470         0     0.78929          18    2567
         26513     0.655      0.471         0     0.55640          21    2616
         27000     0.717      0.471         0     0.72293          21    2663
