# Fault induced at 102951 ms
#    Timestamp     Score     Threshold     Status   Raw Score   Component   Count
             0     0.400      0.340         1     0.00000           1       0
           514     0.425      0.348         0     0.39574           3      14
          1041     0.435      0.348         0     0.94114           1      34
          1566     0.439      0.347         0     0.24958           3      54
          2008     0.419      0.346         0     0.29088           2      71
          2522     0.409      0.345         0     0.35228           2      91
          3053     0.413      0.345         0     0.79437           1     111
          3500     0.460      0.349         0     0.25690           1     129
          4037     0.478      0.356         0     0.96186           1     149
          4525     0.458      0.356         0     0.89116           1     169
          5037     0.474      0.358         0     0.60582           1     188
          5550     0.457      0.357         0     1.00000           1     208
          6000     0.457      0.356         0     0.20812           3     227
          6513     0.442      0.355         0     0.24672           3     246
          7030     0.460      0.355         0     0.44474           3     266
          7535     0.452      0.354         0     0.40478           2     285
          8001     0.425      0.353         0     0.20710           4     304
          8503     0.461      0.353         0     0.39888           3     323
          9038     0.426      0.353         0     0.37893           3     343
          9556     0.408      0.353         0     0.13193           4     363
         10017     0.441      0.353         0     0.85031           1     382
         10556     0.478      0.354         0     0.22169           3     403
         11007     0.456      0.353         0     0.43084           2     421
         11502     0.404      0.354         0     0.29666           4     442
         12052     0.421      0.354         0     0.96186           1     463
         12501     0.439      0.354         0     1.00000           1     480
         13012     0.464      0.354         0     0.85031           1     500
         13570     0.473      0.354         0     0.35218           3     521
         14073     0.418      0.354         0     0.22865           2     541
         14519     0.435      0.354         0     0.33204           3     559
         15013     0.482      0.355         0     0.94114           1     578
         15500     0.479      0.355         0     0.95270           1     598
         16007     0.447      0.355         0     0.95270           1     617
         16514     0.411      0.355         0     0.31214           1     637
         17036     0.445      0.355         0     0.22178           4     656
         17502     0.439      0.354         0     0.20550           3     675
         18003     0.409      0.355         0     0.33830           3     692
         18501     0.420      0.355         0     0.33278           3     713
         19015     0.429      0.354         0     0.29084           1     733
         19501     0.463      0.354         0     0.38067           4     752
         20064     0.478      0.355         0     0.43563           3     773
         20509     0.444      0.354         0     0.39201           2     792
         21044     0.446      0.354         0     0.27933           2     812
         21536     0.460      0.354         0     0.33715           4     832
         22013     0.430      0.354         0     0.37115           2     852
         22503     0.451      0.353         0     0.37171           4     870
         23030     0.436      0.353         0     0.36795           2     890
         23523     0.432      0.353         0     0.35289           1     909
         24023     0.455      0.353         0     0.41799           4     928
         24539     0.430      0.352         0     0.36672           4     948
         25071     0.447      0.351         0     0.20675           4     968
         25504     0.475      0.352         0     0.37550           4     986
         26017     0.491      0.353         0     0.43922           4    1006
         26510     0.468      0.353         0     0.26233           4    1025
         27023     0.433      0.353         0     0.42949           3    1046
         27546     0.417      0.353         0     0.26772           4    1065
         28018     0.413      0.353         0     0.08371           1    1084
         28548     0.427      0.353         0     0.24107           3    1105
         29013     0.442      0.352         0     0.33760           4    1123
         29500     0.410      0.353         0     0.45898           3    1142
         30003     0.401      0.353         0     0.90937           1    1161
         30537     0.448      0.353         0     0.40014           2    1182
         31014     0.471      0.353         0     0.41234           4    1201
         31518     0.494      0.355         0     0.35822           3    1220
         32032     0.468      0.355         0     0.48174           3    1240
         32541     0.432      0.355         0     0.36726           3    1260
         33020     0.425      0.355         0     0.27108           2    1279
         33501     0.430      0.355         0     0.95270           1    1298
         34015     0.443      0.355         0     0.98678           1    1318
         34510     0.448      0.354         0     0.79437           1    1338
         35040     0.423      0.354         0     0.42929           3    1358
         35513     0.421      0.354         0     0.43984           3    1378
         36003     0.442      0.354         0     0.68864           1    1397
         36500     0.432      0.353         0     0.35688           3    1415
         37013     0.428      0.353         0     0.18635           3    1435
         37508     0.418      0.353         0     0.46854           3    1455
         38016     0.442      0.353         0     0.41921           2    1475
         38507     0.456      0.353         0     0.41947           2    1495
         39001     0.410      0.353         0     0.13366           1    1514
         39522     0.441      0.353         0     0.34579           3    1535
         40001     0.447      0.352         0     0.91942           1    1554
         40554     0.421      0.351         0     0.37410           1    1574
         41017     0.451      0.351         0     0.42351           2    1593
         41549     0.438      0.351         0     0.23937           2    1613
         42068     0.431      0.351         0     0.33735           4    1633
         42507     0.431      0.351         0     0.33410           3    1650
         43016     0.439      0.350         0     0.35997           4    1672
         43505     0.429      0.350         0     0.39722           4    1691
         44011     0.451      0.350         0     0.44771           3    1711
         44538     0.489      0.351         0     0.91942           1    1730
         45062     0.482      0.351         0     0.42760           3    1750
         45502     0.479      0.352         0     0.41936           2    1768
         46002     0.467      0.353         0     0.42933           2    1789
         46521     0.495      0.354         0     0.28799           2    1809
         47010     0.497      0.355         0     0.41325           4    1828
         47525     0.451      0.355         0     0.38988           2    1848
         48000     0.388      0.357         0     0.36969           3    1867
         48502     0.400      0.358         0     0.30123           4    1886
         49006     0.474      0.358         0     0.45083           3    1906
         49501     0.483      0.359         0     0.43197           1    1926
         50000     0.466      0.359         0     0.39073           4    1945
         50503     0.444      0.359         0     0.90937           1    1964
         51014     0.432      0.358         0     0.38957           2    1984
         51501     0.407      0.358         0     0.60479           1    2004
         52040     0.417      0.358         0     0.39147           1    2025
         52501     0.449      0.358         0     0.85031           1    2043
         53027     0.454      0.357         0     0.27109           2    2063
         53521     0.442      0.357         0     1.00000           1    2083
         54037     0.439      0.357         0     0.40030           3    2103
         54508     0.447      0.357         0     0.40047           2    2122
         55054     0.451      0.356         0     0.25313           2    2142
         55516     0.435      0.356         0     0.13646           4    2160
         56038     0.427      0.356         0     0.27747           3    2180
         56540     0.411      0.355         0     0.40162           2    2200
         57000     0.414      0.355         0     0.68864           1    2219
         57510     0.440      0.355         0     0.90937           1    2239
         58040     0.422      0.355         0     0.37413           2    2259
         58508     0.468      0.355         0     0.30374           3    2277
         59009     0.476      0.356         0     0.27075           3    2297
         59511     0.406      0.356         0     0.43544           3    2317
         60016     0.430      0.356         0     0.44840           3    2336
         60519     0.481      0.357         0     0.35623           2    2356
         61018     0.481      0.358         0     0.98311           1    2376
         61505     0.461      0.358         0     0.38796           4    2394
         62027     0.412      0.358         0     0.36230           2    2414
         62534     0.443      0.358         0     0.41284           4    2434
         63035     0.487      0.359         0     0.75878           1    2453
         63554     0.490      0.360         0     0.26342           3    2473
         64049     0.462      0.359         0     0.91942           1    2493
         64509     0.427      0.359         0     0.37876           3    2511
         65005     0.402      0.360         0     0.31976           3    2531
