#    Timestamp     Score     Threshold     Status   Raw Score   Component   Count
             0     0.422      0.283         0     0.00000           1       0
           502     0.447      0.290         0     0.86361           1      14
          1016     0.426      0.287         0     0.19439           1      34
          1513     0.457      0.289         0     0.29084           1      54
          2019     0.462      0.290         0     0.68864           1      74
          2523     0.447      0.289         0     1.00000           1      93
          3017     0.405      0.292         0     0.23268           4     113
          3526     0.443      0.291         0     0.41086           4     133
          4001     0.484      0.295         0     0.98311           1     152
          4509     0.453      0.294         0     0.98678           1     170
          5018     0.445      0.293         0     0.39147           1     190
          5529     0.459      0.292         0     0.46607           3     208
          6033     0.458      0.292         0     0.43197           1     228
          6521     0.437      0.291         0     0.51756           1     248
          7064     0.468      0.291         0     0.68864           1     268
          7519     0.477      0.292         0     0.32331           4     287
          8028     0.452      0.291         0     0.85031           1     307
          8511     0.458      0.291         0     0.41995           3     326
          9005     0.450      0.291         0     0.33876           4     344
          9533     0.432      0.291         0     0.32174           3     364
         10071     0.424      0.291         0     0.41698           4     384
         10502     0.437      0.291         0     0.96186           1     403
         11081     0.486      0.292         0     0.38291           2     424
         11500     0.459      0.291         0     0.35306           4     441
         12020     0.418      0.292         0     0.38506           4     461
         12538     0.435      0.292         0     0.13878           4     481
         13049     0.456      0.291         0     0.33255           3     501
         13500     0.424      0.292         0     0.36768           2     520
         14004     0.418      0.292         0     0.29084           1     540
         14510     0.422      0.292         0     0.28163           2     560
         15034     0.437      0.292         0     0.95270           1     579
         15528     0.479      0.292         0     0.85031           1     599
         16033     0.426      0.292         0     0.96186           1     619
         16506     0.395      0.294         0     0.18242           2     637
         17019     0.450      0.293         0     0.38912           2     657
         17545     0.487      0.294         0     0.38946           2     677
         18017     0.433      0.294         0     0.35650           4     696
         18503     0.418      0.294         0     0.42196           2     714
         19001     0.459      0.294         0     1.00000           1     734
         19503     0.470      0.294         0     0.41899           4     752
         20006     0.414      0.294         0     0.20382           4     772
         20541     0.386      0.296         0     0.35289           1     793
         21059     0.438      0.295         0     0.05436           1     813
         21569     0.438      0.295         0     0.95270           1     833
         22021     0.438      0.295         0     0.41255           4     850
         22509     0.411      0.295         0     0.42038           2     870
         23018     0.396      0.296         0     0.16588           2     889
         23504     0.446      0.296         0     0.32544           3     908
         24060     0.441      0.295         0     0.75878           1     929
         24547     0.387      0.296         0     0.36882           4     949
         25004     0.388      0.297         0     0.39773           3     967
         25531     0.427      0.297         0     0.46712           3     987
         26006     0.459      0.298         0     0.86361           1    1006
         26511     0.422      0.298         0     1.00000           1    1024
         27041     0.406      0.298         0     1.00000           1    1044
         27523     0.435      0.298         0     0.13175           4    1062
         28006     0.431      0.297         0     0.19658           2    1082
         28534     0.445      0.297         0     0.05436           1    1102
         29050     0.452      0.296         0     0.24097           2    1122
         29506     0.421      0.296         0     0.28936           4    1140
         30055     0.405      0.297         0     0.26988           4    1161
         30573     0.428      0.297         0     0.38498           2    1181
         31005     0.442      0.296         0     0.31592           2    1198
         31505     0.455      0.297         0     0.46075           4    1217
         32035     0.440      0.296         0     0.42424           4    1237
         32525     0.459      0.296         0     0.26025           4    1256
         33017     0.485      0.297         0     0.44366           4    1276
         33502     0.465      0.297         0     0.45453           2    1295
         34035     0.442      0.297         0     0.36131           2    1315
         34515     0.418      0.297         0     0.37630           4    1335
         35053     0.443      0.297         0     0.79437           1    1356
         35519     0.467      0.297         0     0.35907           4    1374
         36033     0.451      0.296         0     0.19518           2    1395
         36508     0.425      0.296         0     0.42781           3    1414
         37001     0.458      0.296         0     0.27599           2    1433
         37512     0.474      0.297         0     0.35545           2    1453
         38027     0.468      0.297         0     0.41663           2    1472
         38519     0.484      0.298         0     0.26547           2    1492
         39008     0.475      0.298         0     0.51843           1    1510
         39504     0.444      0.298         0     0.46556           3    1529
         40001     0.427      0.298         0     0.30335           4    1548
         40526     0.418      0.298         0     0.43104           3    1568
         41051     0.440      0.298         0     0.43100           4    1589
         41523     0.492      0.298         0     0.37017           3    1608
         42001     0.464      0.298         0     0.94114           1    1626
         42503     0.413      0.298         0     0.20455           2    1646
         43016     0.397      0.298         0     1.00000           1    1667
         43532     0.426      0.298         0     0.39147           1    1687
         44033     0.425      0.298         0     0.41752           4    1707
         44538     0.425      0.298         0     0.51756           1    1727
         45022     0.429      0.297         0     0.25529           2    1746
         45514     0.377      0.298         0     0.44314           4    1765
         46024     0.402      0.298         0     0.35950           4    1785
         46501     0.480      0.299         0     0.48092           2    1803
         47004     0.428      0.299         0     0.21678           2    1822
         47512     0.391      0.300         0     0.29084           1    1842
         48020     0.461      0.299         0     0.35626           2    1862
         48506     0.463      0.300         0     0.38080           2    1882
         49002     0.450      0.300         0     0.43235           2    1900
         49506     0.442      0.299         0     0.36103           2    1919
         50024     0.438      0.297         0     0.25696           3    1940
         50507     0.448      0.297         0     0.44511           3    1959
         51033     0.438      0.297         0     0.45368           3    1979
         51520     0.416      0.297         0     0.40824           4    1998
         52033     0.391      0.298         0     0.34060           2    2017
         52510     0.416      0.298         0     0.45378           3    2036
         53008     0.422      0.298         0     0.37410           1    2055
         53524     0.435      0.298         0     0.37153           2    2075
         54021     0.487      0.299         0     0.44216           3    2095
         54536     0.466      0.299         0     0.38420           3    2115
         55001     0.449      0.299         0     0.47635           3    2135
         55507     0.473      0.299         0     0.60479           1    2156
         56013     0.467      0.299         0     0.17369           4    2176
         56514     0.455      0.299         0     0.32733           1    2194
         57010     0.468      0.299         0     0.47496           1    2214
         57529     0.470      0.300         0     0.51756           1    2234
         58035     0.448      0.299         0     0.34949           4    2254
         58519     0.435      0.299         0     0.21109           1    2273
         59024     0.428      0.299         0     0.24366           3    2293
         59536     0.441      0.299         0     0.22369           1    2313
         60000     0.483      0.299         0     0.36972           3    2331
         60500     0.491      0.300         0     1.00000           1    2350
         61007     0.411      0.300         0     0.28112           2    2369
         61516     0.423      0.301         0     0.20621           2    2389
         62003     0.428      0.301         0     0.90937           1    2409
         62504     0.412      0.300         0     0.31817           4    2429
         63025     0.442      0.300         0     0.29636           2    2448
         63519     0.441      0.299         0     0.31592           2    2468
         64053     0.464      0.299         0     0.37485           2    2488
         64565     0.434      0.299         0     0.40582           4    2508
         65000     0.428      0.299         0     0.30319           2    2526
         65517     0.438      0.299         0     0.26088           3    2546
         66045     0.420      0.299         0     0.35323           3    2566
         66532     0.402      0.298         0     0.43813           1    2585
         67028     0.407      0.298         0     0.37384           3    2604
         67539     0.444      0.298         0     0.96186           1    2624
         68057     0.435      0.297         0     1.00000           1    2644
         68530     0.415      0.298         0     0.25298           4    2663
         69022     0.423      0.298         0     1.00000           1    2682
         69502     0.392      0.298         0     0.35289           1    2700
         70008     0.436      0.298         0     0.42302           3    2720
         70521     0.435      0.297         0     0.90937           1    2740
         71027     0.417      0.296         0     0.46776           3    2759
         71546     0.452      0.296         0     0.39147           1    2779
         72004     0.419      0.296         0     0.45236           2    2796
         72537     0.429      0.295         0     0.20225           2    2817
         73035     0.426      0.295         0     0.36900           4    2837
         73510     0.434      0.294         0     0.42264           3    2856
         74001     0.465      0.295         0     0.60479           1    2874
         74516     0.426      0.295         0     0.79437           1    2895
         75039     0.402      0.295         0     0.68864           1    2915
         75503     0.442      0.295         0     0.33406           4    2932
         76023     0.461      0.295         0     0.43336           4    2951
