# Fault induced at 64509
#    Timestamp     Score     Threshold     Status   Raw Score   Component   Count
             0     0.329      0.366         1     0.00000         231       0
           500     0.409      0.452         1     0.30152         244      52
          1001     0.426      0.438         1     0.42064         232     123
          1506     0.438      0.430         1     0.47530         235     204
          2013     0.444      0.424         1     0.46142         235     277
          2522     0.431      0.415         1     0.37467         244     353
          3004     0.461      0.416         0     0.44340         242     432
          3501     0.473      0.418         0     0.83120         246     507
          4010     0.466      0.416         0     0.20490         245     582
          4503     0.486      0.419         0     0.49216         237     659
          5002     0.455      0.415         0     0.99730         242     737
          5515     0.453      0.411         0     0.98539         231     817
          6000     0.477      0.410         0     0.40871         245     890
          6510     0.459      0.407         0     0.41227         236     973
          7018     0.445      0.404         0     0.80683         238    1047
          7507     0.453      0.402         0     0.38557         232    1126
          8003     0.465      0.400         0     0.23022         232    1207
          8501     0.452      0.398         0     0.39886         232    1287
          9016     0.447      0.397         0     0.31416         236    1365
          9500     0.465      0.395         0     0.40793         236    1442
         10006     0.479      0.395         0     0.99730         242    1520
         10502     0.484      0.396         0     0.24858         233    1597
         11001     0.466      0.395         0     0.33080         243    1676
         11505     0.452      0.393         0     0.16717         237    1753
         12009     0.456      0.392         0     0.28981         243    1831
         12505     0.473      0.392         0     0.43205         239    1909
         13001     0.488      0.392         0     0.23268         239    1986
         13523     0.484      0.392         0     0.48143         240    2068
         14008     0.488      0.392         0     0.34941         243    2147
         14501     0.487      0.392         0     0.98885         234    2223
         15001     0.484      0.392         0     0.38283         239    2300
         15503     0.476      0.391         0     0.44835         239    2382
         16004     0.475      0.391         0     0.88010         242    2460
         16500     0.481      0.391         0     0.47843         232    2537
         17035     0.470      0.390         0     0.49732         237    2620
         17508     0.468      0.389         0     0.46194         245    2696
         18001     0.460      0.389         0     0.29893         245    2773
         18504     0.454      0.388         0     0.35067         241    2853
         19000     0.469      0.388         0     0.44426         238    2930
         19501     0.466      0.387         0     0.45780         241    3009
         20002     0.475      0.387         0     0.39369         239    3084
         20501     0.483      0.387         0     0.42421         239    3162
         21001     0.463      0.386         0     0.45659         241    3240
         21511     0.459      0.386         0     0.39847         236    3322
         22006     0.481      0.385         0     0.41650         243    3400
         22500     0.488      0.385         0     0.77307         246    3476
         23003     0.490      0.385         0     0.41214         240    3557
         23516     0.492      0.386         0     0.42833         244    3636
         24003     0.470      0.385         0     0.30383         236    3715
         24502     0.478      0.385         0     0.43507         232    3795
         25000     0.482      0.375         0     0.99465         246    3871
         25500     0.456      0.373         0     0.36085         243    3949
         26000     0.451      0.372         0     0.39932         240    4026
         26503     0.453      0.372         0     0.32853         241    4106
         27007     0.477      0.372         0     0.23567         240    4185
         27501     0.493      0.371         0     0.61666         231    4265
         28014     0.474      0.371         0     0.38731         237    4344
         28502     0.481      0.371         0     0.40340         243    4420
         29000     0.507      0.372         0     0.24675         240    4498
         29503     0.479      0.372         0     0.21169         241    4576
         30003     0.449      0.372         0     0.76544         242    4656
         30506     0.448      0.372         0     0.90822         234    4734
         31003     0.458      0.372         0     0.38160         245    4813
         31502     0.491      0.372         0     0.43105         232    4891
         32012     0.495      0.372         0     0.77344         242    4967
         32503     0.471      0.372         0     0.43641         241    5047
         33002     0.440      0.373         0     0.46514         233    5125
         33500     0.437      0.373         0     0.69577         234    5204
         34001     0.456      0.373         0     0.37474         236    5282
         34503     0.477      0.373         0     0.65312         231    5361
         35000     0.484      0.373         0     0.49311         245    5438
         35501     0.485      0.373         0     0.37354         245    5514
         36019     0.482      0.373         0     0.41896         239    5594
         36510     0.469      0.373         0     0.41432         240    5670
         37003     0.463      0.373         0     0.23923         235    5749
         37500     0.471      0.373         0     0.40867         240    5828
         38000     0.485      0.373         0     0.58421         234    5907
         38508     0.485      0.373         0     0.42204         243    5987
         39001     0.485      0.373         0     0.47945         245    6066
         39541     0.466      0.372         0     0.35271         235    6147
         40008     0.467      0.372         0     0.43723         237    6222
         40507     0.491      0.373         0     0.36031         240    6297
         41000     0.482      0.373         0     0.43894         233    6376
         41506     0.469      0.373         0     0.21886         241    6455
         42000     0.487      0.373         0     0.37482         237    6534
         42513     0.476      0.373         0     0.91955         242    6615
         43006     0.472      0.373         0     0.36082         245    6692
         43514     0.487      0.372         0     0.80683         238    6769
         44000     0.469      0.372         0     0.23690         244    6847
         44503     0.471      0.372         0     0.25447         231    6927
         45023     0.487      0.372         0     0.42835         239    7005
         45510     0.479      0.372         0     0.98769         242    7084
         46005     0.463      0.372         0     0.94332         246    7163
         46506     0.481      0.372         0     0.38082         237    7241
         47000     0.509      0.373         0     0.36671         233    7319
         47502     0.491      0.373         0     0.38432         243    7398
         48006     0.473      0.373         0     0.39968         233    7476
         48513     0.484      0.373         0     0.39367         235    7556
         49000     0.490      0.373         0     0.34096         243    7636
         49533     0.495      0.373         0     0.37309         245    7717
         50001     0.489      0.373         0     0.97205         242    7792
         50501     0.487      0.373         0     0.29277         236    7871
         51000     0.474      0.373         0     0.45913         235    7952
         51501     0.452      0.373         0     0.36758         240    8030
         52000     0.482      0.373         0     0.22924         231    8108
         52502     0.512      0.373         0     0.98704         246    8187
         53022     0.516      0.374         0     0.56362         231    8269
         53501     0.480      0.374         0     0.47459         236    8345
         54001     0.445      0.374         0     0.21292         235    8424
         54503     0.474      0.374         0     0.33409         240    8504
         55013     0.478      0.374         0     0.98787         238    8581
         55514     0.480      0.373         0     0.71493         238    8661
